% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.554021144e+01 +7.554021144e+01 +1.468902114e+02 +1.468902114e+02 +0.0000e+00 +0.0000e+00
3 +1.172575885e+01 +1.172575885e+01 +8.307575885e+01 +8.307575885e+01 +4.5834e-01 -1.1451e+00
18 +8.201108360e+00 +8.201108360e+00 +7.955110836e+01 +7.955110836e+01 +1.6502e+00 -2.2609e+00
32 +7.011800582e+00 +7.011800582e+00 +7.836180058e+01 +7.836180058e+01 +1.4635e+00 -1.0862e+00
48 +2.731313876e-01 +2.731313876e-01 +7.162313139e+01 +7.162313139e+01 +1.7489e+00 -1.7175e-01
296 +2.344063121e-01 +2.344063121e-01 +7.158440631e+01 +7.158440631e+01 +1.1817e+00 +2.9878e+00
468 +1.949203480e-01 +1.949203480e-01 +7.154492035e+01 +7.154492035e+01 +1.2298e+00 +1.8352e+00
492 +1.594118991e-01 +1.594118991e-01 +7.150941190e+01 +7.150941190e+01 +1.2640e+00 +1.8374e+00
526 +1.422906536e-01 +1.422906536e-01 +7.149229065e+01 +7.149229065e+01 +1.2763e+00 +1.8332e+00
545 +9.335616257e-02 +9.335616257e-02 +7.144335616e+01 +7.144335616e+01 +1.3317e+00 +1.8412e+00
656 +8.282917870e-02 +8.282917870e-02 +7.143282918e+01 +7.143282918e+01 +1.3655e+00 +1.8519e+00
657 +6.114604449e-02 +6.114604449e-02 +7.141114604e+01 +7.141114604e+01 +1.3182e+00 +1.8362e+00
667 +3.951880623e-02 +3.951880623e-02 +7.138951881e+01 +7.138951881e+01 +1.3142e+00 +1.8378e+00
668 +3.039315851e-02 +3.039315851e-02 +7.138039316e+01 +7.138039316e+01 +1.3409e+00 +1.8421e+00
672 +1.811599978e-02 +1.811599978e-02 +7.136811600e+01 +7.136811600e+01 +1.3729e+00 +1.8370e+00
676 +1.521396826e-02 +1.521396826e-02 +7.136521397e+01 +7.136521397e+01 +1.3562e+00 +1.8406e+00
677 +1.396021816e-02 +1.396021816e-02 +7.136396022e+01 +7.136396022e+01 +1.3590e+00 +1.8348e+00
682 +1.298298925e-02 +1.298298925e-02 +7.136298299e+01 +7.136298299e+01 +1.3366e+00 +1.8382e+00
696 +7.266515332e-03 +7.266515332e-03 +7.135726652e+01 +7.135726652e+01 +1.3469e+00 +1.8388e+00
710 +7.014901341e-03 +7.014901341e-03 +7.135701490e+01 +7.135701490e+01 +1.3498e+00 +1.8380e+00
722 +5.240995728e-03 +5.240995728e-03 +7.135524100e+01 +7.135524100e+01 +1.3521e+00 +1.8386e+00
728 +1.777807493e-03 +1.777807493e-03 +7.135177781e+01 +7.135177781e+01 +1.3711e+00 +1.8396e+00
747 +1.288309107e-03 +1.288309107e-03 +7.135128831e+01 +7.135128831e+01 +1.3630e+00 +1.8374e+00
777 +2.344860652e-04 +2.344860652e-04 +7.135023449e+01 +7.135023449e+01 +1.3626e+00 +1.8386e+00
786 +1.275000252e-04 +1.275000252e-04 +7.135012750e+01 +7.135012750e+01 +1.3624e+00 +1.8387e+00
855 +9.636970532e-05 +9.636970532e-05 +7.135009637e+01 +7.135009637e+01 +1.3634e+00 +1.8392e+00
861 +1.859165297e-05 +1.859165297e-05 +7.135001859e+01 +7.135001859e+01 +1.3631e+00 +1.8388e+00
867 +1.784439476e-06 +1.784439476e-06 +7.135000178e+01 +7.135000178e+01 +1.3635e+00 +1.8389e+00
