% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.743465359e+05 +7.743465359e+05 +7.743824359e+05 +7.743824359e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +6.471824839e+05 +6.471824839e+05 +6.472183839e+05 +6.472183839e+05 +1.3937e+00 +2.0356e+00 -9.6069e-01 +5.0890e-01 -9.4311e-02 -1.0415e+00 -1.3297e-01 +1.8605e-01 -4.8467e-01 -4.2814e-01 -4.2857e-01 -7.4321e-01 +9.3580e-01 +5.7598e-01 +6.5385e-01 -1.1770e+00 +1.6894e+00 -6.5136e-01 -8.7458e-02 +8.3539e-01
9 +6.279198083e+05 +6.279198083e+05 +6.279557083e+05 +6.279557083e+05 -7.8069e-02 +2.0929e-01 +1.5997e-01 -6.9512e-01 +1.3237e+00 -1.8776e+00 +1.9152e+00 -6.7670e-01 -5.6485e-01 +8.1709e-01 +1.0069e+00 -4.8659e-01 +2.5971e-01 -4.6044e-01 -9.3676e-01 -9.4952e-02 -7.9503e-01 +1.0038e+00 -7.6727e-01 -6.7261e-01
13 +5.999948637e+05 +5.999948637e+05 +6.000307637e+05 +6.000307637e+05 -3.7314e-01 +8.2772e-01 +7.5698e-01 -2.2170e-01 +2.8949e+00 -2.3958e+00 +3.2381e+00 -6.6637e-01 -1.2880e+00 +8.7987e-01 +1.2956e+00 -1.6953e+00 +1.7749e+00 -3.3632e-01 -2.1413e+00 -2.1388e+00 -1.4546e+00 +1.9805e+00 -2.9791e+00 -4.3497e-01
21 +5.769925801e+05 +5.769925801e+05 +5.770284801e+05 +5.770284801e+05 -5.6452e-01 +6.5332e-01 +5.2310e-01 -2.5404e-01 +1.1160e-01 -6.9276e-01 +3.6268e-01 -1.6028e+00 +4.0833e-01 +2.1746e-01 -2.0994e+00 -7.3271e-01 +5.6838e-02 -2.5453e-01 +1.2469e+00 +7.1529e-01 +1.1596e+00 +9.2804e-01 -2.0999e-02 +5.0049e-01
22 +5.704663149e+05 +5.704663149e+05 +5.705022149e+05 +5.705022149e+05 -5.4350e-01 +8.2062e-01 -2.1801e-01 +1.7326e+00 -5.4215e-01 -9.3853e-01 -1.3001e+00 -1.0288e+00 -6.1426e-01 -3.2578e-01 -1.9317e+00 +1.8929e-01 +2.0098e-01 +6.8742e-01 +1.4710e+00 +6.6132e-01 +1.5277e+00 +2.9680e-01 -2.8140e-01 +3.9744e-01
23 +5.289814710e+05 +5.289814710e+05 +5.290173710e+05 +5.290173710e+05 +2.4687e-01 -5.4733e-01 +3.0636e-01 -6.7783e-01 -8.7293e-01 -1.3700e+00 +9.3781e-02 -2.1050e+00 +4.3301e-01 +8.3504e-02 -2.0934e+00 +1.3280e+00 +1.7497e-01 +4.4729e-02 +2.1071e+00 +3.3015e-01 +8.8561e-01 +1.6236e+00 -3.1883e-01 +5.2429e-01
32 +3.822769985e+05 +3.822769985e+05 +3.823128985e+05 +3.823128985e+05 -5.0855e-01 +4.7188e-01 +1.0206e+00 +2.0385e-01 +2.9130e-01 -2.1472e+00 +1.4582e+00 -3.1622e+00 +4.5241e-01 -4.1633e-01 -2.3079e+00 +9.6962e-01 +9.8771e-01 +5.2376e-01 +2.4604e+00 -3.3924e-01 -3.9360e-01 +2.2816e+00 -5.6481e-01 +5.8946e-02
42 +3.731819648e+05 +3.731819648e+05 +3.732178648e+05 +3.732178648e+05 -2.9060e-01 -1.2722e-01 +3.4661e-01 -1.2780e-01 +2.0953e-01 -2.9910e+00 +7.5832e-01 -2.7654e+00 +2.7426e-01 +3.7054e-01 -1.7007e+00 -1.3889e-01 +1.0753e+00 +1.0355e+00 +1.4135e+00 -2.8934e-01 -2.2527e-01 +2.7545e+00 -7.6840e-01 -4.1365e-01
44 +3.436919201e+05 +3.436919201e+05 +3.437278201e+05 +3.437278201e+05 +4.9452e-01 +1.3803e+00 +1.2317e+00 -2.2519e-01 -6.2666e-01 -1.7357e+00 +9.3113e-01 -1.3652e+00 -7.7971e-01 +7.0971e-02 -1.6353e+00 +4.3661e-01 +1.1178e+00 +1.1157e+00 +2.4586e+00 +1.8427e-01 +5.5773e-01 +1.7376e+00 +4.5645e-01 -4.9210e-01
55 +3.256196661e+05 +3.256196661e+05 +3.256555661e+05 +3.256555661e+05 +6.8234e-01 +2.2707e-01 +8.8500e-01 +5.8976e-01 -5.5930e-01 -9.3864e-01 +1.0413e+00 -1.8295e+00 -4.8176e-01 -5.0209e-01 -2.2749e+00 +7.4425e-01 +1.8177e+00 +1.3999e+00 +2.8854e+00 +7.6879e-02 +4.1624e-01 +2.0274e+00 -2.1805e+00 -7.1929e-01
