% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
73285 +3.545594862e+02 +3.545594862e+02 +3.320094862e+02 +3.320094862e+02
74613 +3.465237913e+02 +3.465237913e+02 +3.239737913e+02 +3.239737913e+02
75880 +3.385464678e+02 +3.385464678e+02 +3.159964678e+02 +3.159964678e+02
78073 +3.310566553e+02 +3.310566553e+02 +3.085066553e+02 +3.085066553e+02
80084 +3.235588980e+02 +3.235588980e+02 +3.010088980e+02 +3.010088980e+02
82062 +3.161721323e+02 +3.161721323e+02 +2.936221323e+02 +2.936221323e+02
84316 +3.089546941e+02 +3.089546941e+02 +2.864046941e+02 +2.864046941e+02
87588 +3.019898954e+02 +3.019898954e+02 +2.794398954e+02 +2.794398954e+02
89486 +2.950259049e+02 +2.950259049e+02 +2.724759049e+02 +2.724759049e+02
90710 +2.882733422e+02 +2.882733422e+02 +2.657233422e+02 +2.657233422e+02
92102 +2.816507154e+02 +2.816507154e+02 +2.591007154e+02 +2.591007154e+02
93881 +2.753886233e+02 +2.753886233e+02 +2.528386233e+02 +2.528386233e+02
95680 +2.691355036e+02 +2.691355036e+02 +2.465855036e+02 +2.465855036e+02
96437 +2.629591226e+02 +2.629591226e+02 +2.404091226e+02 +2.404091226e+02
97852 +2.569874267e+02 +2.569874267e+02 +2.344374267e+02 +2.344374267e+02
99259 +2.509275240e+02 +2.509275240e+02 +2.283775240e+02 +2.283775240e+02
100758 +2.453955827e+02 +2.453955827e+02 +2.228455827e+02 +2.228455827e+02
101597 +2.396458056e+02 +2.396458056e+02 +2.170958056e+02 +2.170958056e+02
102671 +2.344077473e+02 +2.344077473e+02 +2.118577473e+02 +2.118577473e+02
103326 +2.289365045e+02 +2.289365045e+02 +2.063865045e+02 +2.063865045e+02
105164 +2.238593047e+02 +2.238593047e+02 +2.013093047e+02 +2.013093047e+02
106614 +2.186819311e+02 +2.186819311e+02 +1.961319311e+02 +1.961319311e+02
108376 +2.137575129e+02 +2.137575129e+02 +1.912075129e+02 +1.912075129e+02
110246 +2.087753646e+02 +2.087753646e+02 +1.862253646e+02 +1.862253646e+02
111482 +2.041612298e+02 +2.041612298e+02 +1.816112298e+02 +1.816112298e+02
113406 +1.994515866e+02 +1.994515866e+02 +1.769015866e+02 +1.769015866e+02
114114 +1.949796797e+02 +1.949796797e+02 +1.724296797e+02 +1.724296797e+02
115310 +1.904586187e+02 +1.904586187e+02 +1.679086187e+02 +1.679086187e+02
117509 +1.861646023e+02 +1.861646023e+02 +1.636146023e+02 +1.636146023e+02
122231 +1.819646887e+02 +1.819646887e+02 +1.594146887e+02 +1.594146887e+02
126786 +1.777985556e+02 +1.777985556e+02 +1.552485556e+02 +1.552485556e+02
130270 +1.737715184e+02 +1.737715184e+02 +1.512215184e+02 +1.512215184e+02
132108 +1.697295851e+02 +1.697295851e+02 +1.471795851e+02 +1.471795851e+02
133045 +1.659454671e+02 +1.659454671e+02 +1.433954671e+02 +1.433954671e+02
136864 +1.620677277e+02 +1.620677277e+02 +1.395177277e+02 +1.395177277e+02
141384 +1.584869269e+02 +1.584869269e+02 +1.359369269e+02 +1.359369269e+02
149476 +1.548624980e+02 +1.548624980e+02 +1.323124980e+02 +1.323124980e+02
153845 +1.513165359e+02 +1.513165359e+02 +1.287665359e+02 +1.287665359e+02
156534 +1.478977818e+02 +1.478977818e+02 +1.253477818e+02 +1.253477818e+02
159612 +1.444786670e+02 +1.444786670e+02 +1.219286670e+02 +1.219286670e+02
161966 +1.412393603e+02 +1.412393603e+02 +1.186893603e+02 +1.186893603e+02
162928 +1.379630235e+02 +1.379630235e+02 +1.154130235e+02 +1.154130235e+02
163908 +1.348925575e+02 +1.348925575e+02 +1.123425575e+02 +1.123425575e+02
164631 +1.314410977e+02 +1.314410977e+02 +1.088910977e+02 +1.088910977e+02
165778 +1.287202690e+02 +1.287202690e+02 +1.061702690e+02 +1.061702690e+02
166842 +1.258799046e+02 +1.258799046e+02 +1.033299046e+02 +1.033299046e+02
167497 +1.230108761e+02 +1.230108761e+02 +1.004608761e+02 +1.004608761e+02
168944 +1.201671029e+02 +1.201671029e+02 +9.761710286e+01 +9.761710286e+01
169277 +1.171703074e+02 +1.171703074e+02 +9.462030739e+01 +9.462030739e+01
171277 +1.147928091e+02 +1.147928091e+02 +9.224280906e+01 +9.224280906e+01
172810 +1.121526148e+02 +1.121526148e+02 +8.960261480e+01 +8.960261480e+01
174961 +1.096388341e+02 +1.096388341e+02 +8.708883409e+01 +8.708883409e+01
178765 +1.071253085e+02 +1.071253085e+02 +8.457530849e+01 +8.457530849e+01
180802 +1.046970845e+02 +1.046970845e+02 +8.214708447e+01 +8.214708447e+01
185712 +1.022661144e+02 +1.022661144e+02 +7.971611438e+01 +7.971611438e+01
187011 +9.992737981e+01 +9.992737981e+01 +7.737737981e+01 +7.737737981e+01
188106 +9.755977584e+01 +9.755977584e+01 +7.500977584e+01 +7.500977584e+01
189197 +9.538149532e+01 +9.538149532e+01 +7.283149532e+01 +7.283149532e+01
190132 +9.327759408e+01 +9.327759408e+01 +7.072759408e+01 +7.072759408e+01
190683 +9.114585499e+01 +9.114585499e+01 +6.859585499e+01 +6.859585499e+01
190816 +8.911300903e+01 +8.911300903e+01 +6.656300903e+01 +6.656300903e+01
190938 +8.650529810e+01 +8.650529810e+01 +6.395529810e+01 +6.395529810e+01
190998 +8.483482651e+01 +8.483482651e+01 +6.228482651e+01 +6.228482651e+01
191258 +8.301910591e+01 +8.301910591e+01 +6.046910591e+01 +6.046910591e+01
191526 +8.112017620e+01 +8.112017620e+01 +5.857017620e+01 +5.857017620e+01
191742 +7.939394005e+01 +7.939394005e+01 +5.684394005e+01 +5.684394005e+01
192921 +7.758877160e+01 +7.758877160e+01 +5.503877160e+01 +5.503877160e+01
193528 +7.585729264e+01 +7.585729264e+01 +5.330729264e+01 +5.330729264e+01
194024 +7.410108981e+01 +7.410108981e+01 +5.155108981e+01 +5.155108981e+01
194607 +7.241855982e+01 +7.241855982e+01 +4.986855982e+01 +4.986855982e+01
195258 +7.074891019e+01 +7.074891019e+01 +4.819891019e+01 +4.819891019e+01
196483 +6.917127748e+01 +6.917127748e+01 +4.662127748e+01 +4.662127748e+01
197386 +6.760796593e+01 +6.760796593e+01 +4.505796593e+01 +4.505796593e+01
198652 +6.601240460e+01 +6.601240460e+01 +4.346240460e+01 +4.346240460e+01
199814 +6.449167516e+01 +6.449167516e+01 +4.194167516e+01 +4.194167516e+01
200876 +6.308764749e+01 +6.308764749e+01 +4.053764749e+01 +4.053764749e+01
202570 +6.162018592e+01 +6.162018592e+01 +3.907018592e+01 +3.907018592e+01
202727 +6.014330581e+01 +6.014330581e+01 +3.759330581e+01 +3.759330581e+01
203143 +5.879606338e+01 +5.879606338e+01 +3.624606338e+01 +3.624606338e+01
