% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3243 +6.010120967e+01 +6.010120967e+01 +1.363712097e+02 +1.363712097e+02 -1.5758e+00 +1.2876e+00 -7.9895e+00
3794 +5.840407020e+01 +5.840407020e+01 +1.346740702e+02 +1.346740702e+02 -1.0659e+00 +1.1934e+00 -7.9305e+00
3826 +5.738994887e+01 +5.738994887e+01 +1.336599489e+02 +1.336599489e+02 -9.9088e-01 +1.1350e+00 -7.8535e+00
3846 +5.543479312e+01 +5.543479312e+01 +1.317047931e+02 +1.317047931e+02 -7.4473e-01 +1.0028e+00 -7.6917e+00
3848 +5.424594127e+01 +5.424594127e+01 +1.305159413e+02 +1.305159413e+02 -6.3119e-01 +9.5324e-01 -7.6320e+00
3862 +5.222430984e+01 +5.222430984e+01 +1.284943098e+02 +1.284943098e+02 -4.6597e-01 +8.5373e-01 -7.5070e+00
3866 +5.090513562e+01 +5.090513562e+01 +1.271751356e+02 +1.271751356e+02 -2.9630e-01 +7.7247e-01 -7.4103e+00
3875 +4.885457476e+01 +4.885457476e+01 +1.251245748e+02 +1.251245748e+02 -7.1202e-02 +6.4804e-01 -7.2572e+00
3905 +4.560892787e+01 +4.560892787e+01 +1.218789279e+02 +1.218789279e+02 +3.4330e-01 +4.5337e-01 -7.0262e+00
3916 +4.448419545e+01 +4.448419545e+01 +1.207541955e+02 +1.207541955e+02 +5.1719e-01 +3.6966e-01 -6.9276e+00
3920 +4.282511917e+01 +4.282511917e+01 +1.190951192e+02 +1.190951192e+02 +7.7292e-01 +2.3737e-01 -6.7640e+00
3924 +3.853904971e+01 +3.853904971e+01 +1.148090497e+02 +1.148090497e+02 +1.2553e+00 -5.9493e-03 -6.4720e+00
3926 +3.700482972e+01 +3.700482972e+01 +1.132748297e+02 +1.132748297e+02 +1.5439e+00 -1.5570e-01 -6.2894e+00
3941 +3.611725423e+01 +3.611725423e+01 +1.123872542e+02 +1.123872542e+02 +1.7714e+00 -2.7705e-01 -6.1407e+00
3943 +3.537077106e+01 +3.537077106e+01 +1.116407711e+02 +1.116407711e+02 +2.2421e+00 -5.1515e-01 -5.8538e+00
3955 +3.425241284e+01 +3.425241284e+01 +1.105224128e+02 +1.105224128e+02 +3.2109e+00 -1.0083e+00 -5.2569e+00
4178 +3.386631785e+01 +3.386631785e+01 +1.101363178e+02 +1.101363178e+02 +3.1602e+00 -9.9314e-01 -5.2700e+00
4848 +3.307815400e+01 +3.307815400e+01 +1.093481540e+02 +1.093481540e+02 +3.0888e+00 -1.0057e+00 -5.2393e+00
4907 +3.232326128e+01 +3.232326128e+01 +1.085932613e+02 +1.085932613e+02 +3.0150e+00 -1.0233e+00 -5.1998e+00
4924 +3.127300074e+01 +3.127300074e+01 +1.075430007e+02 +1.075430007e+02 +2.9146e+00 -1.0475e+00 -5.1452e+00
4932 +3.083688351e+01 +3.083688351e+01 +1.071068835e+02 +1.071068835e+02 +2.8547e+00 -1.0619e+00 -5.1132e+00
