% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.756574751e+03 +1.756574751e+03 +1.849514751e+03 +1.849514751e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
6 +1.518508848e+03 +1.518508848e+03 +1.611448848e+03 +1.611448848e+03 -5.3340e-02 -4.4417e-02 +1.0116e+00 -4.9695e-01 -1.1250e+00 -3.4795e-01 +6.9604e-01 +1.0709e+00 +8.7812e-01 -9.7851e-01 -7.6581e-01 -1.6551e+00 -1.7007e+00 -5.9706e-01 -5.2183e-01 +2.8472e-01 +5.8779e-01 +1.9023e-03 +1.5553e+00 -1.1150e+00
14 +1.341680821e+03 +1.341680821e+03 +1.434620821e+03 +1.434620821e+03 -1.0245e-01 -1.2144e-01 +5.2203e-01 -9.5809e-01 -1.5167e+00 +1.1510e+00 +2.2443e+00 +1.4895e+00 +1.7243e+00 -1.1701e+00 +1.1680e+00 -1.3569e+00 -3.0107e+00 -1.0090e-01 -2.1627e-02 +4.1403e-01 +6.9958e-01 -1.1819e-01 +1.6597e+00 -2.2582e+00
15 +1.270815121e+03 +1.270815121e+03 +1.363755121e+03 +1.363755121e+03 +2.6851e-01 -7.9484e-01 +2.0128e+00 -9.1935e-01 -2.3124e+00 +7.3008e-01 +1.3148e+00 +4.1979e-01 +2.8474e+00 -1.9945e+00 -3.3437e-01 -1.9556e+00 -2.6456e+00 -2.1678e+00 -8.3498e-01 +8.0968e-01 +1.1011e+00 +3.6302e-01 +1.3254e+00 -7.4241e-01
19 +1.202501666e+03 +1.202501666e+03 +1.295441666e+03 +1.295441666e+03 +2.7925e-01 -1.4502e-01 +8.5488e-01 -3.6918e-01 -1.4092e+00 -6.5090e-01 -1.2358e-01 +4.5581e-01 +1.0170e+00 +1.2163e+00 -3.2498e-01 -1.9024e+00 -2.6032e+00 -1.1698e+00 -6.0707e-01 +4.7610e-01 +1.7659e+00 -6.4701e-01 +2.2259e+00 -9.5780e-01
28 +7.622607161e+02 +7.622607161e+02 +8.552007161e+02 +8.552007161e+02 +2.5349e-01 -9.6551e-02 +9.3939e-01 +2.5308e-01 -1.8222e+00 +7.4740e-01 -6.2228e-01 -1.8226e+00 +2.0348e+00 +1.4743e+00 -1.6070e+00 -2.7798e+00 -2.1804e+00 -9.9858e-01 -2.4396e-01 +1.2444e+00 +1.7828e+00 -8.5580e-01 +3.7415e+00 -1.3516e+00
39 +7.214096343e+02 +7.214096343e+02 +8.143496343e+02 +8.143496343e+02 -2.5177e-01 +1.0980e+00 +1.1723e+00 +2.1646e-01 -1.2507e+00 +8.1407e-01 -6.9255e-01 -2.1192e+00 +3.0664e+00 +1.1635e+00 -7.1991e-01 -3.2496e+00 -1.6643e+00 -1.0697e+00 -1.2095e+00 +9.2640e-02 +1.3844e+00 +4.3125e-02 +2.2826e+00 -2.3797e+00
42 +7.022794523e+02 +7.022794523e+02 +7.952194523e+02 +7.952194523e+02 -1.5036e+00 +8.7228e-02 +1.1209e+00 -3.7730e-02 -2.2842e+00 +1.6360e+00 -1.9505e+00 -3.1687e+00 +3.0270e+00 +4.8950e-01 -1.2631e+00 -4.2129e+00 -3.6167e+00 -1.2546e+00 -6.5659e-01 +1.6818e+00 +2.3924e+00 -1.0582e+00 +2.9717e+00 -2.2864e+00
43 +6.520915960e+02 +6.520915960e+02 +7.450315960e+02 +7.450315960e+02 -6.0627e-01 +1.9500e+00 +2.7418e+00 -2.7795e-01 -3.1494e+00 +1.3018e+00 -7.5198e-01 -2.7844e+00 +4.9071e+00 +6.9999e-01 -1.2045e+00 -5.2939e+00 -2.9485e+00 -6.1830e-02 -1.0066e+00 +2.2848e+00 +2.4033e+00 +3.9894e-01 +3.1286e+00 -3.6580e+00
44 +6.072050581e+02 +6.072050581e+02 +7.001450581e+02 +7.001450581e+02 -3.8767e-02 +1.6761e+00 +1.1333e+00 +2.6797e-01 -2.0066e+00 +3.0481e-01 -2.9151e-01 -3.1580e+00 +4.7928e+00 +1.1359e+00 -9.0468e-01 -2.1778e+00 -3.1147e+00 -2.0856e+00 -9.8977e-01 +1.0658e+00 +2.3918e+00 +1.5823e+00 +2.8457e+00 -3.2994e+00
58 +6.016204985e+02 +6.016204985e+02 +6.945604985e+02 +6.945604985e+02 +1.6345e+00 +8.0239e-01 +1.9476e+00 +1.1358e-02 -1.8393e+00 +1.1364e+00 -1.2272e+00 -4.0882e+00 +5.2483e+00 +8.2537e-01 +3.8362e-01 -1.6171e+00 -1.4736e+00 -1.0825e+00 -6.5296e-01 +1.5737e+00 +2.3406e+00 +1.8417e+00 +1.8771e+00 -3.0755e+00
60 +4.537047209e+02 +4.537047209e+02 +5.466447209e+02 +5.466447209e+02 -5.3854e-01 +2.0091e+00 +1.3827e+00 +2.2461e-01 -1.2933e+00 +2.2518e-01 -1.2800e+00 -4.3120e+00 +4.8614e+00 +1.1560e+00 -2.0154e+00 -3.0946e+00 -2.5603e+00 -2.7222e+00 -3.9676e-01 +8.2979e-01 +3.7504e+00 +2.2663e+00 +2.5318e+00 -4.0810e+00
85 +4.277303059e+02 +4.277303059e+02 +5.206703059e+02 +5.206703059e+02 +7.4263e-01 +1.6393e+00 +4.2871e-01 +2.0965e+00 +1.0293e+00 +2.4534e-01 -4.1581e-01 -3.8268e+00 +6.5533e+00 +2.7376e+00 +7.4198e-02 -1.5122e+00 -2.7220e+00 -2.4045e+00 -3.5568e-01 -3.8625e-01 +4.5025e+00 +1.9432e+00 +4.0231e+00 -3.0912e+00
97 +3.540624257e+02 +3.540624257e+02 +4.470024257e+02 +4.470024257e+02 +5.2469e-01 +2.3419e+00 +4.4688e-01 +3.0812e+00 +1.1884e+00 +7.0725e-01 -2.0593e-01 -3.1668e+00 +5.8305e+00 +3.3170e+00 +7.8468e-01 -1.1701e+00 -3.3957e+00 -2.7638e+00 -4.5265e-02 -1.3593e+00 +4.6585e+00 +7.0423e-01 +3.4795e+00 -2.7242e+00
102 +3.391058107e+02 +3.391058107e+02 +4.320458107e+02 +4.320458107e+02 +4.6103e-01 +1.7747e+00 +2.2164e-01 +3.8229e+00 +1.8353e+00 +3.3692e-01 +4.8137e-01 -1.7797e+00 +6.4310e+00 +4.1712e+00 -1.4872e-01 -1.3786e+00 -3.5774e+00 -2.5948e+00 +5.1247e-01 -1.0734e+00 +5.2008e+00 -3.8992e-01 +3.5581e+00 -1.9494e+00
112 +2.869775571e+02 +2.869775571e+02 +3.799175571e+02 +3.799175571e+02 -1.9265e-01 +2.1004e+00 +8.2748e-01 +3.2288e+00 +1.0331e+00 +2.8374e-02 -2.0984e-01 -7.7213e-01 +5.4085e+00 +4.6345e+00 -9.8351e-01 -7.2531e-01 -2.4707e+00 -1.8170e+00 +1.2488e+00 -1.4595e+00 +5.3281e+00 -1.5402e+00 +2.7852e+00 -1.1682e+00
117 +2.707575871e+02 +2.707575871e+02 +3.636975871e+02 +3.636975871e+02 +4.0445e-01 +1.6603e+00 +1.1639e+00 +3.0000e+00 +2.4959e+00 +8.4061e-01 +6.1173e-02 -1.3997e+00 +6.1277e+00 +2.7047e+00 -1.0961e-02 -2.3483e-01 -3.6642e+00 -1.9960e+00 -1.8552e-01 -9.7975e-01 +3.8869e+00 -1.4895e+00 +3.1843e+00 -1.3483e+00
