% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
671 +1.845692765e+00 +1.845692765e+00 -6.192643072e+02 -6.192643072e+02 -1.0225e+00 +4.1801e+00 -7.8208e-01 -3.5189e+00 -9.7223e-01
694 +1.436299712e+00 +1.436299712e+00 -6.196737003e+02 -6.196737003e+02 -1.0224e+00 +4.1809e+00 -7.8253e-01 -3.5186e+00 -9.7217e-01
794 +1.381000068e+00 +1.381000068e+00 -6.197289999e+02 -6.197289999e+02 -1.0220e+00 +4.1804e+00 -7.8035e-01 -3.5186e+00 -9.7169e-01
868 +1.280171616e+00 +1.280171616e+00 -6.198298284e+02 -6.198298284e+02 -1.0222e+00 +4.1804e+00 -7.8061e-01 -3.5189e+00 -9.7157e-01
993 +1.258505930e+00 +1.258505930e+00 -6.198514941e+02 -6.198514941e+02 -1.0223e+00 +4.1805e+00 -7.8054e-01 -3.5189e+00 -9.7162e-01
1606 +1.228072804e+00 +1.228072804e+00 -6.198819272e+02 -6.198819272e+02 -1.0189e+00 +4.1756e+00 -7.5427e-01 -3.5266e+00 -9.5750e-01
1641 +1.200774006e+00 +1.200774006e+00 -6.199092260e+02 -6.199092260e+02 -1.0171e+00 +4.1728e+00 -7.3962e-01 -3.5309e+00 -9.4969e-01
1655 +1.142589189e+00 +1.142589189e+00 -6.199674108e+02 -6.199674108e+02 -1.0143e+00 +4.1684e+00 -7.1697e-01 -3.5376e+00 -9.3746e-01
1662 +1.099131014e+00 +1.099131014e+00 -6.200108690e+02 -6.200108690e+02 -1.0131e+00 +4.1663e+00 -7.0675e-01 -3.5405e+00 -9.3193e-01
1667 +1.079355028e+00 +1.079355028e+00 -6.200306450e+02 -6.200306450e+02 -1.0120e+00 +4.1646e+00 -6.9813e-01 -3.5431e+00 -9.2733e-01
1674 +9.236967775e-01 +9.236967775e-01 -6.201863032e+02 -6.201863032e+02 -1.0053e+00 +4.1540e+00 -6.4294e-01 -3.5592e+00 -8.9769e-01
1684 +8.803646796e-01 +8.803646796e-01 -6.202296353e+02 -6.202296353e+02 -1.0026e+00 +4.1497e+00 -6.2107e-01 -3.5656e+00 -8.8588e-01
1685 +8.640262012e-01 +8.640262012e-01 -6.202459738e+02 -6.202459738e+02 -9.9777e-01 +4.1420e+00 -5.8136e-01 -3.5772e+00 -8.6466e-01
1722 +8.414811214e-01 +8.414811214e-01 -6.202685189e+02 -6.202685189e+02 -9.9817e-01 +4.1428e+00 -5.8491e-01 -3.5761e+00 -8.6676e-01
1753 +8.283755026e-01 +8.283755026e-01 -6.202816245e+02 -6.202816245e+02 -9.9719e-01 +4.1414e+00 -5.7755e-01 -3.5783e+00 -8.6281e-01
1799 +7.922752814e-01 +7.922752814e-01 -6.203177247e+02 -6.203177247e+02 -9.9505e-01 +4.1382e+00 -5.6121e-01 -3.5831e+00 -8.5413e-01
1821 +7.721138858e-01 +7.721138858e-01 -6.203378861e+02 -6.203378861e+02 -9.9458e-01 +4.1374e+00 -5.5794e-01 -3.5841e+00 -8.5238e-01
1826 +7.567405891e-01 +7.567405891e-01 -6.203532594e+02 -6.203532594e+02 -9.9217e-01 +4.1338e+00 -5.3935e-01 -3.5895e+00 -8.4245e-01
1834 +7.231069821e-01 +7.231069821e-01 -6.203868930e+02 -6.203868930e+02 -9.9120e-01 +4.1324e+00 -5.3199e-01 -3.5917e+00 -8.3840e-01
1856 +6.902422044e-01 +6.902422044e-01 -6.204197578e+02 -6.204197578e+02 -9.8799e-01 +4.1276e+00 -5.0746e-01 -3.5990e+00 -8.2529e-01
1902 +6.716020490e-01 +6.716020490e-01 -6.204383980e+02 -6.204383980e+02 -9.8548e-01 +4.1239e+00 -4.8822e-01 -3.6047e+00 -8.1505e-01
1913 +6.554055506e-01 +6.554055506e-01 -6.204545944e+02 -6.204545944e+02 -9.8517e-01 +4.1234e+00 -4.8572e-01 -3.6055e+00 -8.1373e-01
1939 +6.403992446e-01 +6.403992446e-01 -6.204696008e+02 -6.204696008e+02 -9.8139e-01 +4.1176e+00 -4.5703e-01 -3.6139e+00 -7.9843e-01
1960 +6.244580995e-01 +6.244580995e-01 -6.204855419e+02 -6.204855419e+02 -9.7973e-01 +4.1153e+00 -4.4510e-01 -3.6175e+00 -7.9201e-01
1968 +6.162273486e-01 +6.162273486e-01 -6.204937727e+02 -6.204937727e+02 -9.8108e-01 +4.1175e+00 -4.5560e-01 -3.6144e+00 -7.9763e-01
1983 +5.996666627e-01 +5.996666627e-01 -6.205103333e+02 -6.205103333e+02 -9.8018e-01 +4.1161e+00 -4.4951e-01 -3.6163e+00 -7.9430e-01
2011 +5.643661386e-01 +5.643661386e-01 -6.205456339e+02 -6.205456339e+02 -9.8171e-01 +4.1184e+00 -4.6125e-01 -3.6127e+00 -8.0097e-01
2014 +5.573273281e-01 +5.573273281e-01 -6.205526727e+02 -6.205526727e+02 -9.8105e-01 +4.1174e+00 -4.5647e-01 -3.6143e+00 -7.9841e-01
2049 +5.462020303e-01 +5.462020303e-01 -6.205637980e+02 -6.205637980e+02 -9.8092e-01 +4.1174e+00 -4.5588e-01 -3.6144e+00 -7.9801e-01
2088 +5.334825378e-01 +5.334825378e-01 -6.205765175e+02 -6.205765175e+02 -9.7996e-01 +4.1159e+00 -4.4853e-01 -3.6167e+00 -7.9415e-01
2111 +5.247197413e-01 +5.247197413e-01 -6.205852803e+02 -6.205852803e+02 -9.7888e-01 +4.1144e+00 -4.4106e-01 -3.6189e+00 -7.9013e-01
2145 +5.026792673e-01 +5.026792673e-01 -6.206073207e+02 -6.206073207e+02 -9.7400e-01 +4.1073e+00 -4.0556e-01 -3.6296e+00 -7.7132e-01
2154 +4.890021305e-01 +4.890021305e-01 -6.206209979e+02 -6.206209979e+02 -9.7262e-01 +4.1053e+00 -3.9533e-01 -3.6326e+00 -7.6588e-01
2173 +4.707324871e-01 +4.707324871e-01 -6.206392675e+02 -6.206392675e+02 -9.6844e-01 +4.0992e+00 -3.6488e-01 -3.6417e+00 -7.4974e-01
2176 +4.602124298e-01 +4.602124298e-01 -6.206497876e+02 -6.206497876e+02 -9.6943e-01 +4.1007e+00 -3.7204e-01 -3.6395e+00 -7.5362e-01
2182 +4.552830522e-01 +4.552830522e-01 -6.206547169e+02 -6.206547169e+02 -9.6914e-01 +4.1003e+00 -3.7016e-01 -3.6401e+00 -7.5261e-01
2184 +4.391596697e-01 +4.391596697e-01 -6.206708403e+02 -6.206708403e+02 -9.6707e-01 +4.0973e+00 -3.5479e-01 -3.6447e+00 -7.4442e-01
2192 +4.220337039e-01 +4.220337039e-01 -6.206879663e+02 -6.206879663e+02 -9.6772e-01 +4.0981e+00 -3.5884e-01 -3.6434e+00 -7.4666e-01
2213 +4.031430620e-01 +4.031430620e-01 -6.207068569e+02 -6.207068569e+02 -9.6771e-01 +4.0980e+00 -3.5887e-01 -3.6433e+00 -7.4665e-01
