% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.817093392e+01 +1.817093392e+01 +2.504093392e+01 +2.504093392e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +1.699945703e+01 +1.699945703e+01 +2.386945703e+01 +2.386945703e+01 -1.5059e+00 +4.9240e-01 -8.4457e-01 -3.0121e-01 +5.0507e-01 -6.6982e-01 -9.1363e-01 -1.3126e+00 -1.4627e-01 +2.2615e-01 +7.5367e-02 +1.5113e+00 -1.3703e+00 -9.4903e-01 -1.6544e+00 +1.6929e-01 -1.2020e+00 +1.3913e-01 -1.3229e+00 +1.4481e+00
4 +7.465957162e+00 +7.465957162e+00 +1.433595716e+01 +1.433595716e+01 +3.3558e-01 -6.7611e-01 -1.2026e+00 +6.9135e-01 -1.2311e+00 -2.0332e+00 +1.3860e+00 +6.3743e-01 +6.4801e-01 +4.5159e-01 +4.0957e-01 -9.1225e-02 -1.6962e+00 +1.5793e+00 +2.2048e-02 -9.0347e-01 +2.3139e+00 -5.4060e-01 -5.6042e-01 +1.2044e+00
38 +6.815030655e+00 +6.815030655e+00 +1.368503065e+01 +1.368503065e+01 +1.4821e+00 +1.7821e-01 -6.1046e-01 +1.9090e+00 -1.7535e-01 +8.9129e-01 +2.1530e+00 +1.6843e+00 +2.6785e-01 +1.1904e+00 +2.1202e+00 +3.5921e+00 -5.7425e-01 +3.8029e+00 -5.2613e-02 -3.1219e-02 +1.5316e+00 +1.1257e+00 +1.8469e+00 -8.7680e-01
64 +6.668003105e+00 +6.668003105e+00 +1.353800310e+01 +1.353800310e+01 +8.5934e-01 +1.9022e-01 -2.4691e-01 +1.4358e+00 +6.9833e-01 +6.9428e-01 +4.4202e+00 +2.1220e+00 -2.3271e+00 -1.0038e+00 +2.4696e+00 +2.6438e+00 +2.5842e-01 +2.6349e+00 +3.3377e-01 +2.0227e+00 +2.0968e+00 -2.5298e+00 +4.0968e+00 +9.5912e-01
89 +4.962025354e+00 +4.962025354e+00 +1.183202535e+01 +1.183202535e+01 -8.4671e-02 -4.5048e-01 -1.1528e-01 +1.3101e+00 -1.0630e+00 +7.2987e-01 +4.5985e+00 +4.1031e+00 -2.1312e+00 -8.8055e-01 +3.4058e+00 +6.7122e-01 +3.1510e-01 +3.2712e+00 +6.6364e-01 +2.8656e+00 +1.8494e+00 -3.3150e+00 +2.7699e+00 -8.5224e-01
343 +4.671151096e+00 +4.671151096e+00 +1.154115110e+01 +1.154115110e+01 +9.7643e-01 -1.9142e+00 +8.8872e-01 +2.7654e+00 +4.1933e+00 +1.9687e+00 -3.4383e-01 +2.8013e+00 -1.2303e+00 -2.3822e+00 +7.1049e-01 +1.9585e+00 +4.6525e+00 +3.2966e+00 +9.5147e-01 +4.7094e+00 +1.4814e+00 -2.8364e+00 +1.0186e+00 +6.1138e-01
587 +3.775260108e+00 +3.775260108e+00 +1.064526011e+01 +1.064526011e+01 -3.3335e-01 -2.7943e+00 +3.0580e+00 +2.9785e+00 +3.5700e+00 +1.0041e+00 -3.2317e+00 +2.7613e+00 -2.5227e+00 -1.3753e+00 +1.0275e+00 +1.8014e+00 +3.4854e+00 +2.4416e+00 +9.1862e-01 +2.2413e+00 +5.2443e+00 -1.5959e+00 +4.6120e+00 -1.5579e+00
3724 +3.314817861e+00 +3.314817861e+00 +1.018481786e+01 +1.018481786e+01 -9.7984e-02 -4.4368e+00 +6.1093e-01 +4.6864e+00 +4.7483e+00 +3.8925e+00 -2.6457e+00 +4.0818e-01 +5.4693e-01 -1.9141e+00 -6.6750e-01 +3.4300e+00 +4.9364e+00 +2.0761e+00 +3.4564e+00 +3.0613e-02 +4.8181e+00 -1.3942e+00 +1.7647e+00 -4.1447e+00
4925 +2.386028344e+00 +2.386028344e+00 +9.256028344e+00 +9.256028344e+00 +1.5911e-02 -4.6391e+00 +1.7495e+00 +4.9383e+00 +5.0614e+00 +3.5527e+00 -2.8612e+00 +5.4430e-01 +4.7536e-01 -2.5966e+00 -2.3014e-01 +3.6039e+00 +5.1811e+00 +2.2710e+00 +3.6755e+00 +1.1192e-01 +4.4004e+00 -1.4023e+00 +9.6914e-01 -3.8341e+00
