% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.977281728e+01 +8.977281728e+01 +1.692528173e+02 +1.692528173e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
7 +6.943577997e+01 +6.943577997e+01 +1.489157800e+02 +1.489157800e+02 -2.6671e-01 +2.8850e-01 -7.5076e-01 -4.3208e-01 -7.2897e-01 -2.2932e-01 -4.9228e-01 +1.0233e+00 -3.7589e-01 -1.0308e+00 -1.8698e+00 +1.0704e+00 -7.2749e-01 -5.9373e-01 +5.6020e-01 +1.1350e-01 -4.2144e-01 +1.5655e-01 +7.7578e-01 -1.0116e+00
20 +6.369314822e+01 +6.369314822e+01 +1.431731482e+02 +1.431731482e+02 -5.7106e-01 +5.6857e-01 -1.1074e+00 +9.6586e-02 -1.9567e+00 -1.4523e+00 +1.9987e-01 +1.2286e+00 -9.6606e-01 -3.4687e+00 -5.2382e+00 +7.1660e-01 -1.8057e+00 -2.2105e-02 +9.4410e-01 +1.9354e-01 -2.8508e-01 -3.1858e-01 +1.0146e+00 -1.6353e+00
32 +5.934095642e+01 +5.934095642e+01 +1.388209564e+02 +1.388209564e+02 -1.3641e+00 +7.0510e-01 +1.3807e+00 +1.5105e+00 -1.4010e+00 -7.4435e-01 -1.1551e+00 -7.8623e-01 -7.1398e-01 -2.7365e+00 -2.7216e+00 -1.0102e-01 -7.7084e-01 +4.8855e-01 +3.2833e-02 +1.1058e+00 -1.1992e+00 -4.3483e-01 +2.0495e+00 -5.0038e-01
43 +5.233914566e+01 +5.233914566e+01 +1.318191457e+02 +1.318191457e+02 -9.0557e-01 +4.5914e-01 +2.0965e-01 +2.4859e-01 -1.5399e+00 -7.1433e-01 -2.7019e+00 -1.2275e+00 -1.1667e+00 -2.0885e+00 -3.1724e+00 +1.0986e+00 -4.8235e-01 +3.6210e-01 +5.2252e-01 +3.0349e-01 +3.7034e-01 -1.0791e+00 +2.4381e+00 -5.2142e-01
81 +4.877811534e+01 +4.877811534e+01 +1.282581153e+02 +1.282581153e+02 -2.1183e+00 -8.2511e-01 -2.0229e-01 +1.1007e+00 -8.3345e-01 +2.1451e-01 -1.6926e+00 +1.2850e+00 +1.7628e+00 -2.8498e+00 -2.7596e+00 +4.0768e+00 +6.3694e-01 +1.1554e+00 +1.5379e+00 -2.6394e-01 +4.4516e-01 -4.3395e+00 +1.9779e+00 +4.4213e-01
89 +4.705648476e+01 +4.705648476e+01 +1.265364848e+02 +1.265364848e+02 -8.7558e-01 -1.0004e+00 +3.5743e-01 +1.1959e+00 -1.3506e-01 -1.2778e+00 -1.0346e+00 -1.1560e-02 +1.5335e+00 -2.1846e+00 -2.3775e+00 +2.7019e+00 +8.7279e-01 +3.8109e-01 +1.0942e+00 -1.7901e-01 +1.6252e-01 -4.2289e+00 +4.1994e-01 +1.1386e+00
95 +3.992744663e+01 +3.992744663e+01 +1.194074466e+02 +1.194074466e+02 +3.4554e-01 -1.2604e-01 +3.4603e-01 +2.1987e-01 -1.1492e+00 -1.4917e+00 -1.6005e+00 +1.2084e+00 +8.4253e-01 -1.7775e+00 -3.1202e+00 +1.6669e+00 +1.2606e+00 -6.4963e-01 +1.9011e+00 -3.8773e-01 -1.2548e-01 -5.2167e+00 +1.3910e+00 +1.5533e+00
108 +2.810054768e+01 +2.810054768e+01 +1.075805477e+02 +1.075805477e+02 +6.4507e-01 -7.6291e-01 +3.3385e-01 -3.1392e-01 -1.7806e+00 -7.6033e-01 -1.3896e+00 +1.1214e+00 +2.2021e-01 -1.8906e+00 -2.5547e+00 +2.4182e+00 +2.1224e+00 -5.1040e-01 +3.1634e+00 +1.7826e-01 +2.7506e-01 -4.4234e+00 +2.5325e+00 +2.2283e+00
126 +2.386185970e+01 +2.386185970e+01 +1.033418597e+02 +1.033418597e+02 +4.4366e-04 -9.9801e-01 +2.5259e-01 +4.3860e-01 -1.8201e+00 -1.0599e+00 -2.4139e+00 +3.6279e-02 -2.9084e-01 -1.8666e+00 -1.7025e+00 +2.6521e+00 +3.8458e-01 -1.1268e+00 +2.9500e+00 +1.6763e+00 +3.3880e-01 -4.2005e+00 +2.0208e+00 +1.0441e+00
134 +1.948464380e+01 +1.948464380e+01 +9.896464380e+01 +9.896464380e+01 +1.9719e-01 -1.1668e+00 -4.2113e-01 +6.9086e-02 -2.4794e+00 -4.5061e-01 -6.7567e-01 +2.1533e-01 +3.7702e-02 -2.2997e+00 -2.0112e+00 +3.3420e+00 +4.2777e-01 -8.8060e-01 +3.3749e+00 +1.5587e+00 +4.8997e-01 -4.6098e+00 +1.2830e+00 +2.2122e-01
152 +1.856988792e+01 +1.856988792e+01 +9.804988792e+01 +9.804988792e+01 +3.1802e-02 +4.7733e-01 -3.9025e-01 +1.6430e+00 -1.7058e+00 -8.4334e-02 +3.4179e-01 +2.8859e-01 -8.4036e-01 -2.4771e+00 -1.9915e+00 +2.4215e+00 +1.2703e+00 +5.5619e-01 +3.0699e+00 +9.7997e-01 +2.2583e-01 -4.4944e+00 +4.7047e-01 +3.2161e-01
