% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
4047 +1.344904769e+02 +1.344904769e+02 +2.371004769e+02 +2.371004769e+02 +3.8813e+00 +5.9919e-01 -1.8826e+00 +1.7995e+00 -6.0267e-01 -1.0980e-02 -2.1448e-01 -2.7315e-01 -1.4516e+00 +7.5125e-01 -1.3865e+00 -1.9734e-01 -1.0059e+00 +7.8602e-01 -2.0264e+00 -2.8893e-01 +2.6755e-01 +1.0823e+00 +8.2132e-01 +1.2745e+00
4106 +1.312572110e+02 +1.312572110e+02 +2.338672110e+02 +2.338672110e+02 +3.8890e+00 +5.9445e-01 -1.9027e+00 +1.7680e+00 -5.8761e-01 +1.1905e-03 -2.0864e-01 -2.7256e-01 -1.4633e+00 +7.6771e-01 -1.4035e+00 -1.8978e-01 -9.9454e-01 +7.7052e-01 -2.0166e+00 -2.9522e-01 +2.7023e-01 +1.0850e+00 +8.2704e-01 +1.2777e+00
4152 +1.281804101e+02 +1.281804101e+02 +2.307904101e+02 +2.307904101e+02 +3.8863e+00 +6.0082e-01 -1.9032e+00 +1.8009e+00 -5.7325e-01 +9.6197e-03 -2.0096e-01 -2.7237e-01 -1.4699e+00 +7.8087e-01 -1.4040e+00 -1.7349e-01 -9.9788e-01 +7.7472e-01 -2.0340e+00 -2.8899e-01 +2.5124e-01 +1.0842e+00 +8.2920e-01 +1.2871e+00
4183 +1.210876719e+02 +1.210876719e+02 +2.236976719e+02 +2.236976719e+02 +3.8909e+00 +6.0904e-01 -1.8986e+00 +1.7997e+00 -5.7905e-01 -9.9010e-04 -2.0629e-01 -2.6967e-01 -1.4666e+00 +7.6900e-01 -1.3916e+00 -1.7972e-01 -9.9815e-01 +8.0049e-01 -2.0301e+00 -2.9731e-01 +2.6527e-01 +1.1052e+00 +8.2843e-01 +1.2904e+00
4213 +1.144488469e+02 +1.144488469e+02 +2.170588469e+02 +2.170588469e+02 +3.8913e+00 +6.0889e-01 -1.8841e+00 +1.7962e+00 -5.7786e-01 +7.4550e-03 -2.0524e-01 -2.6682e-01 -1.4706e+00 +7.7298e-01 -1.3884e+00 -1.8121e-01 -9.9989e-01 +8.0504e-01 -2.0294e+00 -2.9174e-01 +2.6966e-01 +1.0943e+00 +8.2735e-01 +1.2898e+00
4223 +1.101251060e+02 +1.101251060e+02 +2.127351060e+02 +2.127351060e+02 +3.8915e+00 +6.1352e-01 -1.8764e+00 +1.7932e+00 -5.8059e-01 +7.8291e-03 -2.0726e-01 -2.6604e-01 -1.4709e+00 +7.7063e-01 -1.3826e+00 -1.6862e-01 -1.0018e+00 +8.0528e-01 -2.0250e+00 -2.8697e-01 +2.7924e-01 +1.0888e+00 +8.2428e-01 +1.2937e+00
4234 +1.094670675e+02 +1.094670675e+02 +2.120770675e+02 +2.120770675e+02 +3.8895e+00 +6.1402e-01 -1.8773e+00 +1.7890e+00 -5.8033e-01 +4.1996e-03 -2.0716e-01 -2.6881e-01 -1.4789e+00 +7.7247e-01 -1.3819e+00 -1.5845e-01 -1.0026e+00 +8.0523e-01 -2.0245e+00 -2.8561e-01 +2.8354e-01 +1.0902e+00 +8.2200e-01 +1.2943e+00
4281 +1.066170308e+02 +1.066170308e+02 +2.092270308e+02 +2.092270308e+02 +3.8799e+00 +6.1228e-01 -1.8753e+00 +1.7963e+00 -5.8561e-01 +2.6873e-03 -2.0915e-01 -2.5911e-01 -1.4881e+00 +7.6464e-01 -1.3875e+00 -1.6734e-01 -1.0031e+00 +8.1269e-01 -2.0039e+00 -2.8147e-01 +2.7274e-01 +1.0918e+00 +8.2244e-01 +1.2946e+00
4330 +1.023844607e+02 +1.023844607e+02 +2.049944607e+02 +2.049944607e+02 +3.8984e+00 +6.0666e-01 -1.8793e+00 +1.8004e+00 -5.9196e-01 +7.1549e-04 -2.1149e-01 -2.6358e-01 -1.4810e+00 +7.6462e-01 -1.3822e+00 -1.6351e-01 -9.9882e-01 +7.9787e-01 -2.0192e+00 -2.7448e-01 +2.6415e-01 +1.0859e+00 +8.1822e-01 +1.2848e+00
4472 +1.017883636e+02 +1.017883636e+02 +2.043983636e+02 +2.043983636e+02 +3.8952e+00 +6.0448e-01 -1.8778e+00 +1.8058e+00 -5.7906e-01 +4.2837e-03 -2.1938e-01 -2.6760e-01 -1.4922e+00 +7.6539e-01 -1.3810e+00 -1.5554e-01 -9.9817e-01 +7.8944e-01 -2.0213e+00 -2.7979e-01 +2.6853e-01 +1.0884e+00 +8.1721e-01 +1.2808e+00
4546 +9.932811807e+01 +9.932811807e+01 +2.019381181e+02 +2.019381181e+02 +3.8947e+00 +6.0232e-01 -1.8753e+00 +1.8045e+00 -5.8317e-01 +1.9845e-03 -2.1470e-01 -2.6340e-01 -1.4892e+00 +7.6984e-01 -1.3841e+00 -1.6025e-01 -9.9953e-01 +7.9493e-01 -2.0179e+00 -2.7492e-01 +2.7020e-01 +1.0917e+00 +8.1703e-01 +1.2796e+00
