% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.423771670e+02 +6.423771670e+02 +1.642377167e+03 +1.642377167e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
12 +5.435717632e+02 +5.435717632e+02 +1.543571763e+03 +1.543571763e+03 -2.0764e+00 +1.6765e+00 +5.1949e-01 +1.3302e+00 +2.2228e+00 +1.0262e-01 +1.1335e+00 -7.0076e-01 +8.9069e-01 +2.6695e-01 +5.5946e-01 -9.6219e-01 +5.4155e-01 -1.9744e+00 +1.2210e+00 -1.1375e+00 +5.3244e-02 -1.4233e+00 +6.2892e-01 +8.0848e-01
22 +5.030828327e+02 +5.030828327e+02 +1.503082833e+03 +1.503082833e+03 -1.4727e+00 +1.3705e+00 +6.3459e-01 -4.6116e-01 +1.6080e+00 -4.5853e-01 +8.0535e-01 -3.8591e-01 +1.2461e-01 +8.0640e-01 +6.2075e-01 -3.4172e-01 -1.8823e+00 -5.9650e-01 +1.3391e+00 +4.6555e-01 +1.0300e+00 -3.8006e-01 +9.4364e-01 +4.6508e-01
23 +4.647548591e+02 +4.647548591e+02 +1.464754859e+03 +1.464754859e+03 -1.7359e+00 +1.9107e+00 +9.2893e-01 +3.3643e+00 +2.3490e+00 +1.9578e-01 +2.4033e-01 +1.6738e-01 +5.9053e-01 +2.1608e-01 -6.4149e-02 -1.1845e-01 -5.4164e-01 -2.1113e+00 +1.4328e+00 +1.8882e-03 +1.3470e-01 -1.2948e+00 -3.1737e-01 -2.5801e-01
36 +4.008934133e+02 +4.008934133e+02 +1.400893413e+03 +1.400893413e+03 -2.0168e+00 +1.8683e+00 +7.5309e-01 +3.0766e+00 +2.6336e+00 -1.5601e-01 -9.7619e-01 -4.8381e-02 +5.7967e-01 +6.6931e-01 +2.6226e-01 -2.3594e+00 -7.5446e-01 -2.4054e+00 -7.3129e-02 +8.4486e-01 +8.5055e-01 -2.7540e+00 +3.4444e-01 -1.5678e-01
92 +3.878380305e+02 +3.878380305e+02 +1.387838030e+03 +1.387838030e+03 -2.0990e+00 +1.0170e-01 -3.5728e-01 +2.7032e+00 +1.5820e+00 -1.6636e+00 +1.0022e+00 +8.1081e-01 -5.2226e-01 +1.6408e+00 +8.1938e-01 -1.5975e+00 -2.1856e+00 -5.4023e+00 +3.0077e-01 +1.9248e+00 +3.8901e+00 +7.3581e-01 +2.8163e-01 +1.7639e+00
99 +3.567972750e+02 +3.567972750e+02 +1.356797275e+03 +1.356797275e+03 -5.3992e-01 +5.6929e-02 -8.0115e-01 +1.8743e+00 +1.7274e+00 -7.2263e-01 +2.8187e-01 +4.2342e-02 -1.0014e+00 +9.6921e-01 +1.9957e-03 -3.2621e+00 -2.6034e+00 -2.8976e+00 +1.3577e+00 +3.2216e+00 +2.4674e+00 -6.0294e-01 +8.4156e-01 -4.3458e-01
225 +3.102096677e+02 +3.102096677e+02 +1.310209668e+03 +1.310209668e+03 -1.4575e+00 +1.5540e+00 +1.7313e+00 +3.6251e+00 +1.5766e+00 -2.0113e+00 +6.4014e-01 -4.2641e-01 -3.3015e+00 -1.4234e-01 -1.1385e+00 -2.7387e+00 +8.8407e-01 -2.1998e+00 +1.3312e+00 -5.4432e-02 +1.9828e+00 +1.4709e-01 +7.7902e-01 -1.9783e+00
249 +2.965560897e+02 +2.965560897e+02 +1.296556090e+03 +1.296556090e+03 -1.0076e+00 +2.1797e+00 +2.0773e+00 +3.8518e+00 +2.8232e+00 -2.9618e+00 -8.6214e-01 +1.2732e+00 -3.6530e+00 -3.2726e-01 -5.0926e-01 -1.7110e+00 +1.0118e+00 -3.3097e+00 +1.5232e+00 +1.5507e-01 +1.6737e+00 +1.2780e+00 -2.4085e-01 -1.4946e+00
260 +2.847604333e+02 +2.847604333e+02 +1.284760433e+03 +1.284760433e+03 -1.4268e+00 +2.1756e+00 +1.7698e+00 +3.2347e+00 +2.4707e+00 -1.2635e+00 -2.9138e-01 +1.1767e+00 -3.2228e+00 -1.0944e+00 -6.2171e-01 -1.5877e+00 +7.1658e-01 -3.8466e+00 +1.1287e+00 +3.1633e-01 +8.8351e-01 +2.2360e+00 -7.4675e-01 -1.3119e+00
287 +2.600693019e+02 +2.600693019e+02 +1.260069302e+03 +1.260069302e+03 -2.5101e+00 +2.6445e+00 +1.9613e+00 +5.8844e+00 +3.7706e+00 -1.7424e+00 -4.5927e-01 +2.3212e-01 -1.0039e+00 +6.8977e-01 +1.5498e-01 -1.1071e+00 -1.1309e+00 -3.2028e+00 +1.8870e+00 +2.0488e-01 +2.8552e+00 +5.2014e-01 -1.8642e+00 -2.3148e+00
492 +2.519569262e+02 +2.519569262e+02 +1.251956926e+03 +1.251956926e+03 -1.7143e+00 +9.6918e-01 +1.1187e+00 +3.4472e+00 +3.6641e+00 -2.1217e+00 +4.9139e-03 -4.4864e-01 -1.5774e+00 -9.4983e-01 -1.5415e+00 +6.8990e-01 -1.9859e+00 -2.5729e+00 +1.9722e+00 +1.6437e+00 +2.3874e+00 -1.3932e+00 -1.9386e+00 -3.7308e-01
566 +2.462005265e+02 +2.462005265e+02 +1.246200527e+03 +1.246200527e+03 -9.1369e-01 +1.8297e+00 +1.9924e+00 +4.2573e+00 +2.9950e+00 -1.9654e+00 +9.9215e-01 -1.2113e-01 -2.0051e+00 -6.1631e-01 -1.1340e+00 -8.7583e-02 -2.7707e+00 -1.8921e+00 +1.8547e+00 +2.3424e+00 +3.0648e+00 +7.9524e-01 -3.3706e+00 +1.1646e+00
643 +2.178398739e+02 +2.178398739e+02 +1.217839874e+03 +1.217839874e+03 -3.1343e+00 +2.8562e+00 +2.6407e+00 +3.8380e+00 +2.0246e+00 -2.5217e+00 -2.4912e-01 -1.3425e+00 -3.4602e+00 -9.2570e-01 -2.0052e+00 -6.2547e-01 -4.4741e+00 -2.4446e+00 +2.8401e+00 +2.5622e+00 +3.1455e+00 +1.7962e+00 -1.6355e+00 -1.4559e+00
702 +2.116918150e+02 +2.116918150e+02 +1.211691815e+03 +1.211691815e+03 -2.3881e+00 +3.0460e+00 +3.6222e+00 +2.3827e+00 +2.2955e+00 -3.0415e+00 -1.3288e+00 -1.0671e+00 -2.7366e+00 -1.2946e+00 -2.3883e+00 +5.7418e-01 -3.0208e+00 -3.3793e+00 +2.3719e+00 +2.0542e+00 +3.3634e+00 +1.0383e+00 +3.0573e-01 -2.3168e+00
706 +2.086772838e+02 +2.086772838e+02 +1.208677284e+03 +1.208677284e+03 -2.5904e+00 +3.1986e+00 +3.8469e+00 +2.5441e+00 +2.8348e+00 -2.9978e+00 -1.9868e+00 -1.3695e+00 -2.1394e+00 -8.9061e-01 -2.4183e+00 +2.0698e-01 -2.9435e+00 -4.0060e+00 +2.0961e+00 +2.4463e+00 +3.3975e+00 -2.2791e-02 +7.6780e-01 -2.8839e+00
739 +1.733799329e+02 +1.733799329e+02 +1.173379933e+03 +1.173379933e+03 -1.5356e+00 +3.2102e+00 +3.0138e+00 +2.3121e+00 +4.0251e+00 -2.8912e+00 -1.4655e+00 -5.9296e-01 -1.5442e+00 -7.5166e-01 -2.0823e+00 -9.2743e-01 -2.4062e+00 -3.0253e+00 +1.6161e+00 +2.0377e+00 +2.7756e+00 -1.2064e+00 -1.4941e-01 -3.0821e+00
1435 +1.686501834e+02 +1.686501834e+02 +1.168650183e+03 +1.168650183e+03 -1.2631e+00 +2.4304e+00 +2.2675e+00 +4.9362e+00 +5.0900e+00 -1.9054e+00 -2.9636e-01 -4.7150e-01 -2.3337e+00 -4.6001e-01 -1.4337e+00 -2.4161e+00 -3.0996e-01 -3.5883e+00 +1.5298e+00 +2.8215e+00 +2.5992e+00 -7.6731e-01 -4.9418e-01 -2.0898e+00
1450 +1.627518255e+02 +1.627518255e+02 +1.162751826e+03 +1.162751826e+03 -1.2233e+00 +2.4610e+00 +2.1737e+00 +4.9523e+00 +5.0678e+00 -1.9267e+00 -4.3226e-01 -4.2091e-01 -2.2946e+00 -5.9801e-01 -1.5331e+00 -2.3315e+00 -2.4171e-01 -3.6350e+00 +1.3948e+00 +2.8917e+00 +2.6259e+00 -9.2568e-01 -4.2385e-01 -2.1794e+00
