% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1697 +1.604080733e+02 +1.604080733e+02 +1.160408073e+03 +1.160408073e+03 -7.3269e-01 +2.3860e+00 +2.2428e+00 +4.8337e+00 +4.7731e+00 -1.8099e+00 -2.6109e-01 -9.6872e-01 -2.2561e+00 -7.9431e-01 -1.2139e+00 -2.1773e+00 +1.8680e-02 -3.6909e+00 +1.7974e+00 +3.2009e+00 +2.8203e+00 -5.4389e-01 -3.1086e-01 -1.8592e+00
1735 +1.565295844e+02 +1.565295844e+02 +1.156529584e+03 +1.156529584e+03 -5.9947e-01 +2.2746e+00 +2.3251e+00 +4.9037e+00 +4.8394e+00 -1.7831e+00 -4.6752e-01 -9.6261e-01 -2.0665e+00 -8.7999e-01 -1.3635e+00 -2.1225e+00 -2.8079e-02 -3.8440e+00 +1.8148e+00 +3.3718e+00 +2.8126e+00 -6.4111e-01 -5.3382e-01 -1.8490e+00
1736 +1.539367531e+02 +1.539367531e+02 +1.153936753e+03 +1.153936753e+03 -6.1109e-01 +2.3695e+00 +2.3151e+00 +4.9622e+00 +4.9192e+00 -1.8410e+00 -3.7895e-01 -9.5214e-01 -2.1253e+00 -8.3636e-01 -1.2942e+00 -2.1116e+00 +4.5810e-02 -3.7831e+00 +1.7537e+00 +3.2653e+00 +2.7249e+00 -4.6625e-01 -5.0109e-01 -1.8488e+00
1752 +1.511207451e+02 +1.511207451e+02 +1.151120745e+03 +1.151120745e+03 -6.0111e-01 +2.3999e+00 +2.2989e+00 +4.8954e+00 +4.8874e+00 -1.6344e+00 -3.7022e-01 -9.0747e-01 -2.1380e+00 -9.5404e-01 -1.2556e+00 -2.1873e+00 +1.1284e-01 -3.8569e+00 +1.7919e+00 +3.2967e+00 +2.7407e+00 -4.5250e-01 -4.8024e-01 -1.6313e+00
1778 +1.477136545e+02 +1.477136545e+02 +1.147713654e+03 +1.147713654e+03 -5.4874e-01 +2.3922e+00 +2.2993e+00 +4.8196e+00 +4.8947e+00 -1.5458e+00 -3.3920e-01 -1.0059e+00 -2.2479e+00 -9.3619e-01 -1.2690e+00 -2.1736e+00 +1.2366e-01 -3.7783e+00 +1.7959e+00 +3.2125e+00 +2.6474e+00 -3.4538e-01 -5.2325e-01 -1.7700e+00
1795 +1.437861457e+02 +1.437861457e+02 +1.143786146e+03 +1.143786146e+03 -6.2810e-01 +2.3711e+00 +2.2380e+00 +4.8739e+00 +4.7505e+00 -1.5507e+00 -3.2540e-01 -9.2069e-01 -2.2594e+00 -9.0227e-01 -1.2230e+00 -2.1492e+00 +3.7070e-02 -3.8563e+00 +1.8248e+00 +3.2443e+00 +2.7369e+00 -4.3605e-01 -5.3841e-01 -1.6710e+00
1797 +1.408070403e+02 +1.408070403e+02 +1.140807040e+03 +1.140807040e+03 -6.5196e-01 +2.4256e+00 +2.2742e+00 +4.8330e+00 +4.8295e+00 -1.5920e+00 -2.9799e-01 -8.6592e-01 -2.1991e+00 -8.7128e-01 -1.2534e+00 -2.2076e+00 +2.0504e-02 -3.8371e+00 +1.8187e+00 +3.2446e+00 +2.7248e+00 -3.8715e-01 -4.8988e-01 -1.7972e+00
1808 +1.327878265e+02 +1.327878265e+02 +1.132787827e+03 +1.132787827e+03 -6.6864e-01 +2.4077e+00 +2.2708e+00 +4.8456e+00 +4.8419e+00 -1.5651e+00 -3.1578e-01 -8.4416e-01 -2.1824e+00 -8.8516e-01 -1.2390e+00 -2.1802e+00 +7.2912e-02 -3.8134e+00 +1.8320e+00 +3.2794e+00 +2.7451e+00 -4.1527e-01 -5.4204e-01 -1.7745e+00
1813 +1.290956495e+02 +1.290956495e+02 +1.129095650e+03 +1.129095650e+03 -6.9085e-01 +2.3851e+00 +2.2290e+00 +4.8826e+00 +4.8547e+00 -1.5630e+00 -2.9812e-01 -8.4204e-01 -2.1727e+00 -8.6056e-01 -1.2264e+00 -2.1843e+00 +1.1159e-01 -3.8437e+00 +1.8012e+00 +3.2346e+00 +2.7621e+00 -3.5238e-01 -5.0269e-01 -1.7276e+00
1814 +1.277216410e+02 +1.277216410e+02 +1.127721641e+03 +1.127721641e+03 -6.7346e-01 +2.3995e+00 +2.2841e+00 +4.9753e+00 +4.8612e+00 -1.6056e+00 -3.5312e-01 -8.6140e-01 -2.1389e+00 -8.7121e-01 -1.2293e+00 -2.1574e+00 +8.7223e-02 -3.7510e+00 +1.8269e+00 +3.2673e+00 +2.7575e+00 -4.7289e-01 -5.3671e-01 -1.7642e+00
1822 +1.187631661e+02 +1.187631661e+02 +1.118763166e+03 +1.118763166e+03 -7.1489e-01 +2.3853e+00 +2.2691e+00 +4.8494e+00 +4.8344e+00 -1.6643e+00 -2.2968e-01 -8.1063e-01 -2.1954e+00 -8.5495e-01 -1.2112e+00 -2.1869e+00 +1.3887e-01 -3.8625e+00 +1.8125e+00 +3.1938e+00 +2.7502e+00 -4.5861e-01 -4.9684e-01 -1.7769e+00
1832 +1.129619906e+02 +1.129619906e+02 +1.112961991e+03 +1.112961991e+03 -7.2531e-01 +2.3745e+00 +2.2449e+00 +4.8554e+00 +4.7916e+00 -1.7171e+00 -2.8734e-01 -8.5872e-01 -2.1814e+00 -8.5182e-01 -1.1937e+00 -2.1534e+00 +1.1058e-01 -3.8238e+00 +1.7797e+00 +3.1438e+00 +2.7707e+00 -4.6924e-01 -5.2661e-01 -1.8042e+00
1842 +1.113921852e+02 +1.113921852e+02 +1.111392185e+03 +1.111392185e+03 -7.7270e-01 +2.3524e+00 +2.2746e+00 +4.9412e+00 +4.8299e+00 -1.7585e+00 -2.6675e-01 -8.5103e-01 -2.1193e+00 -8.3134e-01 -1.2375e+00 -2.1480e+00 +7.3559e-02 -3.8199e+00 +1.7438e+00 +3.1187e+00 +2.7852e+00 -4.8854e-01 -5.2757e-01 -1.8227e+00
1846 +9.867129671e+01 +9.867129671e+01 +1.098671297e+03 +1.098671297e+03 -6.8651e-01 +2.3810e+00 +2.2798e+00 +4.9115e+00 +4.8126e+00 -1.7272e+00 -2.3050e-01 -8.6576e-01 -2.1564e+00 -8.6777e-01 -1.2118e+00 -2.0961e+00 +1.1978e-01 -3.8032e+00 +1.7349e+00 +3.1255e+00 +2.7727e+00 -4.7746e-01 -5.0384e-01 -1.7648e+00
1944 +9.231094728e+01 +9.231094728e+01 +1.092310947e+03 +1.092310947e+03 -6.8293e-01 +2.3664e+00 +2.2795e+00 +5.0338e+00 +4.8086e+00 -1.6073e+00 -2.5827e-01 -8.4736e-01 -2.1064e+00 -9.2115e-01 -1.2218e+00 -2.0755e+00 +8.0025e-02 -3.8218e+00 +1.7576e+00 +3.0660e+00 +2.7265e+00 -5.1460e-01 -4.7521e-01 -1.7956e+00
1954 +9.001362930e+01 +9.001362930e+01 +1.090013629e+03 +1.090013629e+03 -6.5345e-01 +2.3208e+00 +2.2767e+00 +5.0410e+00 +4.8241e+00 -1.6281e+00 -1.8372e-01 -8.3663e-01 -2.1070e+00 -9.5927e-01 -1.2425e+00 -2.0446e+00 +8.7741e-02 -3.8284e+00 +1.7344e+00 +3.0523e+00 +2.7353e+00 -5.4213e-01 -4.7897e-01 -1.8515e+00
1957 +8.599687468e+01 +8.599687468e+01 +1.085996875e+03 +1.085996875e+03 -6.7646e-01 +2.3206e+00 +2.2763e+00 +5.0198e+00 +4.7877e+00 -1.6223e+00 -2.1157e-01 -8.8153e-01 -2.1605e+00 -9.5372e-01 -1.2376e+00 -2.0462e+00 +9.9888e-02 -3.8115e+00 +1.8072e+00 +3.0239e+00 +2.7671e+00 -5.0617e-01 -4.9102e-01 -1.8030e+00
2071 +8.370821128e+01 +8.370821128e+01 +1.083708211e+03 +1.083708211e+03 -6.6897e-01 +2.3142e+00 +2.3197e+00 +5.0450e+00 +4.8418e+00 -1.6430e+00 -3.0201e-01 -8.1012e-01 -2.0544e+00 -9.7697e-01 -1.2677e+00 -1.9946e+00 +1.1520e-01 -3.7336e+00 +1.8135e+00 +2.9981e+00 +2.7538e+00 -5.0434e-01 -5.1082e-01 -1.8363e+00
2089 +7.733209826e+01 +7.733209826e+01 +1.077332098e+03 +1.077332098e+03 -6.4598e-01 +2.2742e+00 +2.3248e+00 +5.0649e+00 +4.8364e+00 -1.6001e+00 -2.7311e-01 -7.9288e-01 -2.0519e+00 -9.8807e-01 -1.2510e+00 -2.0355e+00 +8.5779e-02 -3.7223e+00 +1.8029e+00 +2.9837e+00 +2.7631e+00 -4.8301e-01 -5.3698e-01 -1.8558e+00
2105 +7.555913508e+01 +7.555913508e+01 +1.075559135e+03 +1.075559135e+03 -6.6161e-01 +2.2857e+00 +2.3093e+00 +5.0059e+00 +4.8268e+00 -1.6832e+00 -2.4901e-01 -8.1762e-01 -2.0522e+00 -9.5889e-01 -1.2287e+00 -2.0393e+00 +5.5938e-02 -3.7274e+00 +1.7810e+00 +3.0209e+00 +2.7432e+00 -4.7280e-01 -5.4274e-01 -1.8554e+00
2122 +7.197433596e+01 +7.197433596e+01 +1.071974336e+03 +1.071974336e+03 -6.6887e-01 +2.3111e+00 +2.3121e+00 +5.0420e+00 +4.8587e+00 -1.6499e+00 -2.3312e-01 -8.8252e-01 -2.0494e+00 -9.9289e-01 -1.2359e+00 -1.9935e+00 +8.2019e-02 -3.7043e+00 +1.7857e+00 +3.0304e+00 +2.7549e+00 -5.1148e-01 -5.6080e-01 -1.8530e+00
2145 +7.076932416e+01 +7.076932416e+01 +1.070769324e+03 +1.070769324e+03 -6.9151e-01 +2.3059e+00 +2.3169e+00 +5.0561e+00 +4.8637e+00 -1.6302e+00 -2.1692e-01 -8.4888e-01 -2.0389e+00 -9.8262e-01 -1.2446e+00 -2.0020e+00 +7.2284e-02 -3.7045e+00 +1.7957e+00 +3.0675e+00 +2.7250e+00 -4.7330e-01 -5.8067e-01 -1.8563e+00
2304 +6.869794190e+01 +6.869794190e+01 +1.068697942e+03 +1.068697942e+03 -6.9406e-01 +2.2761e+00 +2.3006e+00 +5.0222e+00 +4.8516e+00 -1.6048e+00 -2.3741e-01 -8.4778e-01 -2.0501e+00 -9.7241e-01 -1.2260e+00 -2.0238e+00 +5.6831e-02 -3.7507e+00 +1.7670e+00 +3.0544e+00 +2.7291e+00 -4.5865e-01 -5.6871e-01 -1.8624e+00
2341 +6.729660296e+01 +6.729660296e+01 +1.067296603e+03 +1.067296603e+03 -6.9773e-01 +2.2435e+00 +2.3027e+00 +5.0309e+00 +4.8525e+00 -1.6068e+00 -2.3378e-01 -8.5544e-01 -2.0311e+00 -9.8255e-01 -1.2364e+00 -2.0241e+00 +6.0044e-02 -3.7432e+00 +1.7782e+00 +3.0502e+00 +2.7373e+00 -4.7418e-01 -5.8574e-01 -1.8606e+00
2374 +6.604323976e+01 +6.604323976e+01 +1.066043240e+03 +1.066043240e+03 -6.8421e-01 +2.2490e+00 +2.2966e+00 +5.0392e+00 +4.8461e+00 -1.6140e+00 -2.4426e-01 -8.5026e-01 -2.0392e+00 -9.8397e-01 -1.2283e+00 -2.0214e+00 +6.2312e-02 -3.7329e+00 +1.7689e+00 +3.0490e+00 +2.7239e+00 -4.4651e-01 -5.9503e-01 -1.8344e+00
2652 +6.451755400e+01 +6.451755400e+01 +1.064517554e+03 +1.064517554e+03 -6.8213e-01 +2.2437e+00 +2.3058e+00 +5.0331e+00 +4.8589e+00 -1.6133e+00 -2.3045e-01 -8.4512e-01 -2.0521e+00 -1.0014e+00 -1.2289e+00 -2.0021e+00 +7.7268e-02 -3.6933e+00 +1.7611e+00 +3.0309e+00 +2.7220e+00 -4.2625e-01 -6.0699e-01 -1.8440e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.420924595e+02 +7.420924595e+02 +8.121224595e+02 +8.121224595e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
7 +6.762586015e+02 +6.762586015e+02 +7.462886015e+02 +7.462886015e+02 -1.0195e+00 -1.9256e-01 +2.3504e-01 -9.1880e-01 -1.9722e+00 +9.0671e-01 +4.3750e-01 +7.5775e-01 -5.7378e-02 -3.4490e-01 +1.8256e-01 -1.5452e+00 -1.5373e-02 +4.8781e-01 +5.0636e-01 +3.5205e-01 -3.3154e-01 -2.0988e-01 -2.2680e-01 +2.8856e-02
19 +6.436335780e+02 +6.436335780e+02 +7.136635780e+02 +7.136635780e+02 -1.2520e+00 -2.1052e+00 +1.9744e-01 -1.9131e+00 -1.7688e+00 +4.1847e-01 -8.8581e-02 +1.8032e+00 -4.7190e-01 -1.4240e+00 +2.5414e-01 -3.9022e+00 -1.5761e-01 +1.0433e+00 +9.6150e-01 +7.5560e-01 -6.5534e-01 +4.5645e-01 -1.3504e+00 -3.8927e-01
36 +5.238662641e+02 +5.238662641e+02 +5.938962641e+02 +5.938962641e+02 -2.5152e+00 -3.0381e+00 +5.3569e-01 -4.9841e-01 -1.0682e+00 +7.6752e-01 -1.0517e-01 +1.6537e+00 -8.4149e-01 -2.3973e+00 -4.0943e-01 -2.3956e+00 -5.9879e-01 -1.6116e-01 +1.4580e+00 +1.1280e+00 -1.1706e+00 +1.4317e+00 -2.2074e+00 +2.8094e-01
59 +4.761041314e+02 +4.761041314e+02 +5.461341314e+02 +5.461341314e+02 -1.5287e+00 -1.6201e+00 +2.1161e+00 +1.6059e+00 -1.5164e+00 -5.1678e-01 -6.2704e-01 +1.3714e+00 -1.5290e+00 -4.6489e-01 -3.9549e-01 -1.7920e+00 +4.8021e-01 -2.6231e-01 +1.0533e+00 +6.6644e-01 +1.4580e+00 +2.5640e+00 -1.6001e+00 -5.9528e-01
83 +4.602477035e+02 +4.602477035e+02 +5.302777035e+02 +5.302777035e+02 -5.8601e-01 +3.9211e-03 +2.3196e+00 +1.8745e+00 -2.3004e+00 -1.9830e+00 -1.2184e-01 +2.0733e+00 -2.7137e+00 -1.7750e+00 +1.1948e+00 -2.2280e+00 +2.9605e+00 +1.8705e-01 +2.7818e+00 -7.2829e-01 +4.7524e-01 +2.5228e+00 -1.5815e+00 -1.0491e+00
106 +4.318190174e+02 +4.318190174e+02 +5.018490174e+02 +5.018490174e+02 -8.9708e-02 +3.9092e-01 +1.4075e+00 +1.8652e+00 -1.0098e+00 -1.4290e+00 -9.8146e-01 +3.6180e-01 -1.9112e+00 -1.1700e+00 +4.9584e-01 -1.2737e+00 +3.3229e+00 -1.4549e-01 +9.9878e-01 -8.4234e-01 +9.8172e-01 +1.5660e+00 -1.6264e-01 -1.2686e+00
141 +3.943261929e+02 +3.943261929e+02 +4.643561929e+02 +4.643561929e+02 +2.2319e-01 +1.3870e-01 -2.4881e-02 +1.1615e+00 -1.4029e+00 -1.8878e+00 +4.7646e-01 +2.0978e-01 -1.8672e+00 +5.7520e-01 -1.7193e-01 -2.2028e+00 +2.9962e+00 +3.0457e-01 +2.3524e+00 -1.4610e+00 +3.0282e-01 +2.4093e+00 -6.7032e-01 -2.1845e+00
160 +3.639210326e+02 +3.639210326e+02 +4.339510326e+02 +4.339510326e+02 +4.6600e-01 -2.6453e-01 -1.7196e-02 +6.6708e-01 -1.1042e+00 -2.5780e+00 +4.1773e-01 -3.1381e-01 -1.2228e+00 +9.7490e-01 +7.7900e-01 -1.6878e+00 +3.4858e+00 -8.3067e-01 +1.0438e+00 -1.9614e+00 +8.1907e-01 +3.6851e+00 -1.5736e+00 -1.7537e+00
189 +3.468210131e+02 +3.468210131e+02 +4.168510131e+02 +4.168510131e+02 +1.1587e+00 -2.0048e+00 -8.0663e-01 +6.6605e-01 -5.8941e-01 -2.5864e+00 +6.5141e-01 +5.8127e-01 -6.1219e-01 +4.3989e-02 +5.1299e-03 -1.1870e+00 +1.7548e+00 +1.0756e-01 +2.1080e+00 -2.7307e+00 +1.0927e+00 +3.4684e+00 -2.9692e+00 -1.3035e+00
193 +3.268981892e+02 +3.268981892e+02 +3.969281892e+02 +3.969281892e+02 +6.8920e-01 -1.8331e+00 -6.3665e-01 +8.5719e-01 -1.8410e-01 -2.1251e+00 +1.1577e+00 +1.0133e+00 -7.5962e-02 +2.0900e-01 -1.8164e-01 -1.7845e+00 +1.9510e+00 +5.2797e-01 +1.5544e+00 -2.9654e+00 +8.7975e-01 +3.0207e+00 -3.5211e+00 -9.3114e-01
226 +2.964985283e+02 +2.964985283e+02 +3.665285283e+02 +3.665285283e+02 -1.0438e+00 -2.1738e+00 -1.0655e+00 -7.8377e-01 +7.7481e-01 -2.5931e+00 -1.8530e-01 +1.0864e+00 -1.7887e+00 -3.6423e-02 +8.4959e-02 -3.0954e-01 +1.8059e+00 +3.0462e-01 +1.0709e+00 -2.4172e+00 +5.1506e-01 +3.4946e+00 -2.8890e+00 -1.4517e+00
246 +2.382832438e+02 +2.382832438e+02 +3.083132438e+02 +3.083132438e+02 -1.3880e+00 -1.2373e+00 -1.5510e+00 -9.2082e-01 +1.1203e+00 -2.2965e+00 +1.7888e-02 +1.0265e+00 -2.6441e+00 +4.0360e-01 -1.1073e+00 -6.5485e-01 +2.2476e+00 +1.5335e-01 +3.6079e-01 -1.5091e+00 +7.1416e-01 +2.6780e+00 -2.4423e+00 -7.5360e-01
350 +2.245572338e+02 +2.245572338e+02 +2.945872338e+02 +2.945872338e+02 -9.9637e-01 -1.3424e+00 -2.2187e+00 -9.6779e-01 +1.9832e-01 -2.6983e+00 -1.7823e+00 +2.3931e+00 -8.7242e-01 -1.4625e+00 -2.5802e-01 -1.1016e+00 +2.6608e+00 -7.8147e-01 +7.2347e-01 -3.8558e+00 +1.4148e+00 +2.4523e+00 -2.5164e+00 -2.4099e-01
390 +2.230477070e+02 +2.230477070e+02 +2.930777070e+02 +2.930777070e+02 -2.1133e+00 -2.2068e+00 -2.5736e+00 -1.3435e+00 -6.9412e-01 -1.5158e+00 -1.1980e+00 +2.0740e+00 -3.9665e-01 +3.8173e-01 -6.3091e-01 -2.8435e+00 +1.5419e+00 -8.6050e-01 -1.1278e+00 -4.0114e+00 +6.5647e-01 +2.6752e+00 -2.9901e+00 +4.7441e-01
552 +2.068150622e+02 +2.068150622e+02 +2.768450622e+02 +2.768450622e+02 -1.1642e+00 -4.7809e-01 -2.6860e+00 +8.2995e-01 +9.2563e-01 -2.9288e+00 +1.6555e-01 +1.8579e+00 -2.5618e-01 -9.8230e-01 -1.2347e+00 -1.1919e+00 +1.9039e+00 -1.3704e+00 -6.2939e-01 -2.2540e+00 +1.0127e+00 +2.3021e+00 -1.5718e+00 -9.2369e-02
741 +2.035612967e+02 +2.035612967e+02 +2.735912967e+02 +2.735912967e+02 +4.1610e-01 -1.0016e+00 -1.9658e+00 -2.3298e-01 +4.9833e-01 -3.1235e+00 -6.3005e-01 +1.2245e+00 -8.9380e-01 -8.8746e-01 -1.0164e-01 -1.2359e-01 +2.2871e+00 -6.3698e-01 +4.7024e-01 -3.4191e+00 +1.6947e+00 +2.6154e+00 -1.6515e+00 +1.4953e-01
