% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.033747614e+04 +1.033747614e+04 +9.790976136e+03 +9.790976136e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
11 +8.178452566e+03 +8.178452566e+03 +7.631952566e+03 +7.631952566e+03 +2.4741e+00 -9.2894e-01 -8.1409e-01 +3.0423e-01 +1.2664e+00 -3.1212e-01 -1.2159e+00 -9.8718e-01 -2.3817e-01 +8.7735e-01
13 +6.262091547e+03 +6.262091547e+03 +5.715591547e+03 +5.715591547e+03 +1.7183e+00 +4.4659e-01 -5.4041e-01 +5.8096e-01 +1.3905e+00 +1.9835e-01 -5.0215e-01 -8.1495e-01 -1.2424e+00 +3.0658e-01
27 +5.479163124e+03 +5.479163124e+03 +4.932663124e+03 +4.932663124e+03 +3.4049e+00 +1.8645e+00 -1.2424e+00 +1.4113e+00 +1.8143e+00 -6.7372e-01 -1.8268e+00 -9.7726e-01 -2.1496e+00 +2.1551e+00
37 +2.440484812e+03 +2.440484812e+03 +1.893984812e+03 +1.893984812e+03 +3.0077e+00 +6.4665e-01 -3.4774e-01 +1.2578e+00 +2.1838e+00 -1.0594e+00 -2.1607e+00 -6.0539e-01 -3.1313e+00 +1.3454e+00
43 +1.609914714e+03 +1.609914714e+03 +1.063414714e+03 +1.063414714e+03 +1.2533e+00 +3.6370e-01 -3.7415e-01 +1.7583e+00 +1.5342e+00 -3.5626e-01 -1.9471e+00 +1.3353e-01 -2.0697e+00 +6.1585e-01
44 +1.490033075e+03 +1.490033075e+03 +9.435330747e+02 +9.435330747e+02 +2.1727e+00 +1.1711e+00 -9.6526e-01 +1.3483e+00 +1.9531e+00 -1.1842e+00 -2.6042e+00 -2.0779e-01 -3.0998e+00 +7.0126e-01
54 +1.179184528e+03 +1.179184528e+03 +6.326845277e+02 +6.326845277e+02 +2.8338e+00 +2.3868e+00 -1.4997e-01 +1.2699e+00 +2.8353e+00 -2.0455e-01 -1.8905e+00 +1.2400e-01 -3.1149e+00 +2.1282e+00
55 +2.628172209e+02 +2.628172209e+02 -2.836827791e+02 -2.836827791e+02 +2.0534e-01 +6.1192e-01 -1.5363e+00 +2.5154e-01 +1.0306e+00 -1.1720e+00 -1.9594e+00 +1.2043e-01 -2.8856e+00 +6.0976e-01
87 +2.425423591e+02 +2.425423591e+02 -3.039576409e+02 -3.039576409e+02 -9.1471e-01 -2.0715e-01 -6.0452e-01 +5.8531e-01 +8.3106e-01 -4.7990e-01 -5.9799e-01 +1.3752e+00 -2.5476e+00 +3.4500e-01
109 +2.848579420e+01 +2.848579420e+01 -5.180142058e+02 -5.180142058e+02 -3.4162e-01 +7.7443e-01 -3.4197e-01 -2.5228e-01 +9.3426e-02 -5.1423e-01 -6.0697e-01 +2.0489e+00 -7.2170e-01 +9.1575e-01
114 +4.802845194e+00 +4.802845194e+00 -5.416971548e+02 -5.416971548e+02 -1.2231e-01 +5.9154e-01 +8.0344e-01 -2.2154e-01 +6.9392e-01 -2.9934e-01 -4.7212e-01 +1.8927e+00 -1.4366e+00 +1.1456e+00
