% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
44 +6.553113931e-01 +6.553113931e-01 +6.736531139e+01 +6.736531139e+01 -4.3447e+00 -7.9708e+00
53 +0.000000000e+00 +0.000000000e+00 +6.671000000e+01 +6.671000000e+01 -5.4600e+00 -1.1912e+01
% function evaluation | noise-free fitness - Fopt (9.416700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.500000000e+01 +5.500000000e+01 +9.966700000e+02 +9.966700000e+02 +0.0000e+00 +0.0000e+00
5 +4.695690047e+01 +4.695690047e+01 +9.886269005e+02 +9.886269005e+02 -3.0593e-01 -7.7372e-01
7 +4.072236671e+01 +4.072236671e+01 +9.823923667e+02 +9.823923667e+02 +9.6635e-01 -1.5244e+00
16 +2.732143071e+01 +2.732143071e+01 +9.689914307e+02 +9.689914307e+02 -5.8484e-03 -2.7673e+00
21 +1.594348421e+01 +1.594348421e+01 +9.576134842e+02 +9.576134842e+02 +6.9012e-01 -3.9747e+00
24 +5.427352499e+00 +5.427352499e+00 +9.470973525e+02 +9.470973525e+02 +4.2735e-01 -6.6089e+00
30 +2.711387395e+00 +2.711387395e+00 +9.443813874e+02 +9.443813874e+02 -2.2886e+00 -5.2209e+00
34 +0.000000000e+00 +0.000000000e+00 +9.416700000e+02 +9.416700000e+02 -6.4833e+00 -8.1959e+00
% function evaluation | noise-free fitness - Fopt (-3.745000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.500000000e+01 +5.500000000e+01 +1.755000000e+01 +1.755000000e+01 +0.0000e+00 +0.0000e+00
2 +4.165927039e+01 +4.165927039e+01 +4.209270389e+00 +4.209270389e+00 +4.1841e-01 +1.2922e+00
12 +3.294084506e+01 +3.294084506e+01 -4.509154945e+00 -4.509154945e+00 -4.3252e-01 +2.2492e+00
17 +3.150844792e+01 +3.150844792e+01 -5.941552077e+00 -5.941552077e+00 +6.2568e-01 +2.2866e+00
24 +4.053464570e+00 +4.053464570e+00 -3.339653543e+01 -3.339653543e+01 +9.4654e-01 +5.3414e+00
32 +2.160685989e+00 +2.160685989e+00 -3.528931401e+01 -3.528931401e+01 +2.8393e+00 +5.3720e+00
43 +0.000000000e+00 +0.000000000e+00 -3.745000000e+01 -3.745000000e+01 +5.7398e+00 +6.7529e+00
% function evaluation | noise-free fitness - Fopt (2.134000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.500000000e+01 +5.500000000e+01 +7.634000000e+01 +7.634000000e+01 +0.0000e+00 +0.0000e+00
2 +3.678075245e+01 +3.678075245e+01 +5.812075245e+01 +5.812075245e+01 +3.0850e-02 +1.8250e+00
12 +1.815734578e+01 +1.815734578e+01 +3.949734578e+01 +3.949734578e+01 +1.3707e+00 +3.8213e+00
