% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.270868857e+02 +1.270868857e+02 -3.350031143e+02 -3.350031143e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
12 +8.977507059e+01 +8.977507059e+01 -3.723149294e+02 -3.723149294e+02 -1.3490e+00 +2.3134e-01 -5.8584e-01 -1.7412e-01 +4.3599e-01
26 +6.625978151e+01 +6.625978151e+01 -3.958302185e+02 -3.958302185e+02 -1.3881e+00 +8.3600e-01 -7.0233e-01 +6.2528e-01 +1.1579e+00
30 +5.744873540e+01 +5.744873540e+01 -4.046412646e+02 -4.046412646e+02 -7.2095e-01 +2.3924e-01 +7.2385e-01 -1.5740e-01 +1.9603e+00
49 +5.234815139e+01 +5.234815139e+01 -4.097418486e+02 -4.097418486e+02 -1.5291e+00 +2.0756e-01 +7.2524e-01 -4.3558e-01 +1.5842e+00
67 +4.412132414e+01 +4.412132414e+01 -4.179686759e+02 -4.179686759e+02 -8.6791e-01 +1.9144e-01 +1.6740e+00 +2.6805e-01 +1.9603e+00
131 +3.375206565e+01 +3.375206565e+01 -4.283379343e+02 -4.283379343e+02 -9.4200e-01 +1.1658e-02 +2.2309e+00 +7.7607e-01 +2.3345e+00
144 +2.844343878e+01 +2.844343878e+01 -4.336465612e+02 -4.336465612e+02 -4.1908e-01 +7.1071e-01 +1.6591e+00 +1.1835e+00 +2.3234e+00
194 +2.466513178e+01 +2.466513178e+01 -4.374248682e+02 -4.374248682e+02 -2.9895e-01 +1.5239e+00 +1.6957e+00 +3.3159e-01 +2.8521e+00
253 +2.095886351e+01 +2.095886351e+01 -4.411311365e+02 -4.411311365e+02 -3.4769e-01 +1.4917e+00 +1.0625e+00 +7.7298e-01 +2.3510e+00
300 +1.594190929e+01 +1.594190929e+01 -4.461480907e+02 -4.461480907e+02 -3.3026e-01 +1.5288e+00 +1.1456e+00 +7.2538e-01 +2.3733e+00
324 +1.484589467e+01 +1.484589467e+01 -4.472441053e+02 -4.472441053e+02 -2.6434e-01 +1.4689e+00 +1.0954e+00 +7.0647e-01 +2.3185e+00
335 +1.120073237e+01 +1.120073237e+01 -4.508892676e+02 -4.508892676e+02 -3.1858e-01 +1.4603e+00 +1.1537e+00 +7.0270e-01 +2.3053e+00
365 +1.030118940e+01 +1.030118940e+01 -4.517888106e+02 -4.517888106e+02 -3.3292e-01 +1.4967e+00 +1.1367e+00 +7.2387e-01 +2.3260e+00
380 +9.982380699e+00 +9.982380699e+00 -4.521076193e+02 -4.521076193e+02 -3.1594e-01 +1.4645e+00 +1.1292e+00 +7.3970e-01 +2.3084e+00
413 +9.197442666e+00 +9.197442666e+00 -4.528925573e+02 -4.528925573e+02 -3.2668e-01 +1.5125e+00 +1.1331e+00 +7.3047e-01 +2.2998e+00
438 +9.085961317e+00 +9.085961317e+00 -4.530040387e+02 -4.530040387e+02 -3.3099e-01 +1.5050e+00 +1.1352e+00 +7.2532e-01 +2.3013e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.502431191e+02 +2.502431191e+02 +3.279031191e+02 +3.279031191e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.461865594e+02 +1.461865594e+02 +2.238465594e+02 +2.238465594e+02 -1.5879e+00 +1.1218e+00 -3.6436e-02 +3.2510e-01 -6.9035e-01
14 +1.100739376e+02 +1.100739376e+02 +1.877339376e+02 +1.877339376e+02 -1.6424e+00 +1.7395e+00 -1.3786e+00 +1.3141e+00 -8.2320e-01
19 +9.106477356e+01 +9.106477356e+01 +1.687247736e+02 +1.687247736e+02 +5.5775e-01 +4.3755e-01 +3.4078e-01 +1.0617e+00 -1.0311e+00
22 +7.263029186e+01 +7.263029186e+01 +1.502902919e+02 +1.502902919e+02 +1.6942e+00 +5.0433e-01 +2.8513e-01 +1.7544e+00 -1.5199e+00
