% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
366 +1.317346995e+01 +1.317346995e+01 +5.395346995e+01 +5.395346995e+01 -4.5796e+00 +6.6063e-01 +2.0760e+00 +6.3731e-01 -1.6208e+00 +2.4648e+00 +1.1673e-01 +4.3972e+00 -7.8735e-01 +2.0499e+00
408 +1.266360075e+01 +1.266360075e+01 +5.344360075e+01 +5.344360075e+01 -4.2812e+00 +7.4769e-01 +2.0673e+00 +6.5080e-01 -1.6363e+00 +2.4635e+00 +1.4538e-01 +4.3679e+00 -6.9240e-01 +2.0040e+00
412 +1.257296476e+01 +1.257296476e+01 +5.335296476e+01 +5.335296476e+01 -4.3547e+00 +7.5588e-01 +2.0648e+00 +6.7921e-01 -1.6442e+00 +2.5209e+00 +1.5061e-01 +4.4278e+00 -7.7611e-01 +2.0161e+00
424 +1.191820070e+01 +1.191820070e+01 +5.269820070e+01 +5.269820070e+01 -4.2593e+00 +7.4573e-01 +2.1635e+00 +4.8408e-01 -1.8164e+00 +2.5638e+00 +2.1052e-01 +4.3946e+00 -8.0058e-01 +2.1768e+00
439 +1.153130433e+01 +1.153130433e+01 +5.231130433e+01 +5.231130433e+01 -4.2266e+00 +8.0868e-01 +2.2063e+00 +4.3441e-01 -1.8229e+00 +2.5419e+00 +2.7708e-01 +4.4280e+00 -7.8079e-01 +2.2429e+00
442 +1.104229269e+01 +1.104229269e+01 +5.182229269e+01 +5.182229269e+01 -4.0885e+00 +7.9747e-01 +2.3029e+00 +4.7919e-01 -1.9045e+00 +2.5742e+00 +3.5138e-01 +4.4195e+00 -8.0122e-01 +2.3721e+00
475 +1.086790021e+01 +1.086790021e+01 +5.164790021e+01 +5.164790021e+01 -4.1199e+00 +7.8479e-01 +2.2712e+00 +5.1491e-01 -2.0506e+00 +2.7798e+00 +5.5614e-01 +4.5317e+00 -8.4372e-01 +2.6809e+00
493 +1.069020649e+01 +1.069020649e+01 +5.147020649e+01 +5.147020649e+01 -3.9440e+00 +7.7828e-01 +2.3405e+00 +4.7383e-01 -2.0513e+00 +2.7526e+00 +5.3175e-01 +4.3911e+00 -7.1262e-01 +2.7216e+00
644 +1.043751446e+01 +1.043751446e+01 +5.121751446e+01 +5.121751446e+01 -3.6071e+00 +8.9590e-01 +2.2714e+00 +4.2881e-01 -1.9578e+00 +2.8624e+00 +5.6011e-01 +4.3274e+00 -6.9795e-01 +2.5503e+00
692 +1.022168501e+01 +1.022168501e+01 +5.100168501e+01 +5.100168501e+01 -3.4495e+00 +8.7750e-01 +2.3998e+00 +3.6741e-01 -2.0718e+00 +2.7248e+00 +8.3672e-01 +4.2978e+00 -6.2173e-01 +2.8311e+00
