% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.021155843e+01 +8.021155843e+01 +1.209915584e+02 +1.209915584e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +7.835705078e+01 +7.835705078e+01 +1.191370508e+02 +1.191370508e+02 -1.6171e+00 -1.6327e-01 +9.7466e-01 +2.4688e-01 +1.7160e+00 +1.2655e+00 +8.1851e-01 -9.6770e-01 -8.3348e-01 +1.6360e+00 -7.7550e-01 +9.2746e-01 -8.0643e-01 -1.1093e+00 -1.6032e-01 +5.5413e-01 +1.2721e+00 +1.4554e+00 +2.1434e+00 +2.0288e+00
5 +7.668368828e+01 +7.668368828e+01 +1.174636883e+02 +1.174636883e+02 -3.4150e-01 +8.8917e-02 +6.4983e-01 +8.9357e-02 -1.0277e+00 +1.2570e+00 -1.1771e+00 -5.5511e-01 +1.3272e+00 -3.2716e-01 -4.1061e-01 -1.5692e+00 +1.0490e+00 -7.3380e-01 -3.3237e-01 -1.5127e+00 +1.5271e+00 -7.7040e-01 -1.5867e+00 -1.2934e+00
15 +7.163903680e+01 +7.163903680e+01 +1.124190368e+02 +1.124190368e+02 -1.2650e+00 +6.0775e-01 +4.9583e-01 -4.5891e-01 -1.8266e+00 +1.7132e+00 -1.4697e+00 -1.0676e+00 +1.3153e+00 -1.0439e+00 +5.6334e-01 -3.0210e+00 +3.0776e-02 -1.0551e+00 -8.9724e-01 -2.4081e+00 +2.0485e+00 -3.2098e+00 -2.1553e+00 -6.6605e-01
41 +7.026996419e+01 +7.026996419e+01 +1.110499642e+02 +1.110499642e+02 -1.5320e+00 -1.1917e+00 -8.6294e-01 +7.0001e-01 -6.4787e-01 -2.5721e-01 -3.7169e+00 -1.8498e+00 +8.9424e-01 -8.3326e-01 +2.5349e+00 -1.1767e+00 -8.5629e-01 -1.4327e+00 -1.6012e+00 -3.9547e-01 +2.4903e+00 -2.9624e+00 -2.6410e+00 -6.7639e-01
43 +6.897615953e+01 +6.897615953e+01 +1.097561595e+02 +1.097561595e+02 -1.5046e+00 -1.9608e+00 -5.7265e-01 -5.0161e-01 -1.5825e+00 +6.6348e-01 -4.2113e+00 -1.5967e+00 +1.8907e+00 -8.0207e-01 +1.6476e+00 -1.5942e+00 -6.0190e-01 -3.4481e+00 -2.9986e+00 -1.7869e+00 +1.7990e+00 -2.7154e+00 -3.6746e+00 -9.6745e-01
80 +6.562330284e+01 +6.562330284e+01 +1.064033028e+02 +1.064033028e+02 +1.8767e-01 -1.7479e+00 -7.7486e-01 -1.7748e+00 -1.8450e+00 -1.1857e+00 -2.5995e+00 -1.3039e+00 +1.1091e-01 -1.8459e+00 +2.2370e+00 -1.1242e+00 -6.4465e-01 -1.9071e+00 -2.8760e+00 -1.3655e+00 +3.2839e+00 -2.7081e+00 -4.8684e+00 -1.4456e+00
87 +5.927152883e+01 +5.927152883e+01 +1.000515288e+02 +1.000515288e+02 +1.7706e+00 -2.0231e+00 -3.4254e-01 -9.1560e-01 -2.5649e+00 +1.7985e-02 -1.8720e+00 -2.0621e+00 +2.4715e-01 -2.2907e+00 +2.6509e+00 -9.5347e-01 -1.5917e+00 -2.0726e+00 -2.4523e+00 -6.4576e-01 +2.4460e+00 -3.7087e+00 -3.7586e+00 -1.3639e+00
95 +5.763862937e+01 +5.763862937e+01 +9.841862937e+01 +9.841862937e+01 +7.0091e-01 -1.5212e+00 -9.8276e-01 -8.8675e-01 -2.1953e+00 +8.8698e-02 -2.5226e+00 -1.4508e+00 +1.3733e-01 -2.9691e+00 +2.4497e+00 -9.5519e-01 -1.0110e+00 -1.3190e+00 -2.5075e+00 -2.5416e-01 +2.6232e+00 -2.8786e+00 -2.8934e+00 -1.6705e+00
102 +5.584566380e+01 +5.584566380e+01 +9.662566380e+01 +9.662566380e+01 +9.4882e-01 -2.0860e+00 -1.0245e+00 -5.8471e-02 -3.2166e+00 -1.1075e-01 -2.9407e+00 -1.6799e+00 -3.2131e-01 -3.3611e+00 +2.0845e+00 -7.2532e-01 -2.0706e-01 -1.0251e+00 -2.5915e+00 -1.6988e-01 +2.0449e+00 -2.8415e+00 -3.0256e+00 -1.2073e+00
